Year,gfdl.cm3.1.rcp85,gfdl.cm3.1.rcp60,gfdl.cm3.1.rcp45,gfdl.cm3.1.rcp26,gfdl.esm2m.1.rcp85,gfdl.esm2m.1.rcp26,gfdl.esm2m.1.rcp45,gfdl.esm2m.1.rcp60,csiro.mk3.6.0.1.rcp85,csiro.mk3.6.0.1.rcp26,csiro.mk3.6.0.1.rcp45,csiro.mk3.6.0.1.rcp60,hadgem2.es.1.rcp85,hadgem2.es.1.rcp60,hadgem2.es.1.rcp45,hadgem2.es.1.rcp26,miroc.esm.chem.1.rcp85,miroc.esm.chem.1.rcp60,miroc.esm.chem.1.rcp45,miroc.esm.chem.1.rcp26,miroc5.1.rcp85,miroc5.1.rcp60,miroc5.1.rcp45,miroc5.1.rcp26
2010,152.15044854042,155.577510883957,152.627660543979,151.777391907161,141.540584794259,150.180382405401,151.789562354078,154.767481461752,152.030545054575,151.337884652382,153.500941633878,150.43962716905,147.412462736433,151.525458966438,154.311497407065,154.157380941972,154.84129364261,148.478812906016,153.956678979878,151.007804732332,154.142243506787,146.981951568216,145.48513022595,151.811345830773
2011,152.552688271841,145.523842051707,150.931427150517,143.779560612424,148.615518444989,148.274868462487,148.660474802263,148.162670626677,148.530469072136,148.529326300117,147.305435887655,147.315585511416,147.023041283617,145.902867692306,146.970522205175,151.12986942602,150.009547822169,150.708185185895,150.005350414456,143.97506251197,147.554990926311,150.218952938641,148.468890679318,143.550806920618
2012,150.390885410784,143.166484321398,147.134712074517,146.318521877223,146.040754941358,149.72353172744,146.709065996478,143.843217651402,145.975950693207,142.69314591926,145.164292691299,145.826699985981,151.627968481455,146.389252606365,150.849351760966,149.368103303604,148.003536553877,141.953252185245,152.102525838478,149.815894860214,146.663984249554,148.039796208652,149.193881494296,149.582213662336
2013,146.902658345601,147.790419584157,144.159736695522,154.339771948545,144.669435414722,147.231890889479,143.225303738967,148.274709398545,143.277683344148,141.833516764675,146.248366897685,144.978807897268,151.018819190354,144.261213470266,142.748901095302,148.53599702401,152.858970187317,151.147180395799,146.948491688349,150.938542855441,143.632230899185,143.121526077203,146.115658535856,142.952417981202
2014,153.40677262328,149.930414581231,142.124972718261,142.540918171316,138.338402649896,137.771249873503,138.601458686499,143.279382062069,144.76398139221,144.474484184924,145.81539650867,141.524758575556,148.933776464597,144.503910969527,144.761999395306,147.131488032182,143.268211901604,141.3078274027,145.645068458382,148.905563983932,146.341961810517,147.929475724654,145.738750713318,145.523589027858
2015,145.651536821846,138.463169462684,147.612445660564,139.629785945454,141.631703841166,140.316991770543,142.169566855034,142.341252636122,142.951202700704,144.153761158613,144.54219755684,148.734262825627,138.028450656614,147.674044540921,144.493547174608,148.20743765153,141.561187170431,144.367719043854,142.197246719095,146.500461954189,147.836242691238,141.92935542758,142.727876144875,144.280150343758
2016,142.499516062398,148.028606023078,148.534834333353,143.715265656229,145.904737384067,147.330034708389,142.155764904063,143.752138518256,145.930379455413,143.209918452792,139.256075177315,142.423490621429,140.350972434194,150.215696404823,140.021384618169,145.707491388973,143.629772304187,143.405895410294,145.237304641429,144.814773391194,143.252536683827,143.701404511735,142.021122241289,139.859499970885
2017,139.009715570153,146.181411390749,146.983253427721,143.358398374613,139.444787775808,143.899283333475,135.681185816632,139.186193235362,139.134414710039,139.554613584729,141.989287487369,136.285189945556,140.096770167941,139.78300862757,139.99364573648,141.524959753471,141.63902475207,134.025404021179,146.374827255235,141.398550611572,138.01244391969,139.739119770001,144.428861417689,141.758052150156
2018,145.538956128819,142.116203118609,139.074316336152,143.490015321196,140.042708562042,141.008308128103,140.686030824916,139.127994206689,140.766087831883,141.326137964234,136.555772181713,139.319440214318,142.058936306971,140.011433702524,139.074592091758,143.110458076384,137.415981072431,137.462558766579,139.638032311698,143.483872136457,139.714658488947,142.859269396615,140.530647733927,140.215633090603
2019,137.002385651885,139.719983801503,145.34604920133,138.125981951964,141.652074661807,144.830830245045,141.80976475671,135.198332470573,139.549249744989,141.9573042142,140.973312481231,136.49493453966,141.348848469492,139.984401640363,140.12799722919,142.465453000099,140.751871897987,136.47471547651,141.798963126635,140.456567208119,134.060093541764,139.82580447182,139.426180712828,138.115870386662
