Year,gfdl.cm3.1.rcp85.piecewise,gfdl.cm3.1.rcp60.piecewise,gfdl.cm3.1.rcp45.piecewise,gfdl.cm3.1.rcp26.piecewise,gfdl.esm2m.1.rcp85.piecewise,gfdl.esm2m.1.rcp60.piecewise,gfdl.esm2m.1.rcp45.piecewise,gfdl.esm2m.1.rcp26.piecewise,csiro.mk3.6.0.1.rcp85.piecewise,csiro.mk3.6.0.1.rcp60.piecewise,csiro.mk3.6.0.1.rcp45.piecewise,csiro.mk3.6.0.1.rcp26.piecewise,hadgem2.es.1.rcp85.piecewise,hadgem2.es.1.rcp60.piecewise,hadgem2.es.1.rcp45.piecewise,hadgem2.es.1.rcp26.piecewise,miroc.esm.chem.1.rcp85.piecewise,miroc.esm.chem.1.rcp60.piecewise,miroc.esm.chem.1.rcp45.piecewise,miroc.esm.chem.1.rcp26.piecewise,miroc5.1.rcp85.piecewise,miroc5.1.rcp60.piecewise,miroc5.1.rcp45.piecewise,miroc5.1.rcp26.piecewise,gfdl.cm3.1.rcp85.linear,gfdl.cm3.1.rcp60.linear,gfdl.cm3.1.rcp45.linear,gfdl.cm3.1.rcp26.linear,gfdl.esm2m.1.rcp85.linear,gfdl.esm2m.1.rcp60.linear,gfdl.esm2m.1.rcp45.linear,gfdl.esm2m.1.rcp26.linear,csiro.mk3.6.0.1.rcp85.linear,csiro.mk3.6.0.1.rcp60.linear,csiro.mk3.6.0.1.rcp45.linear,csiro.mk3.6.0.1.rcp26.linear,hadgem2.es.1.rcp85.linear,hadgem2.es.1.rcp60.linear,hadgem2.es.1.rcp45.linear,hadgem2.es.1.rcp26.linear,miroc.esm.chem.1.rcp85.linear,miroc.esm.chem.1.rcp60.linear,miroc.esm.chem.1.rcp45.linear,miroc.esm.chem.1.rcp26.linear,miroc5.1.rcp85.linear,miroc5.1.rcp60.linear,miroc5.1.rcp45.linear,miroc5.1.rcp26.linear
2010,142.709513032428,146.210309252175,143.186532605869,142.348789859524,132.353690093846,145.248674582938,142.297574713374,140.753419776084,142.641538550808,141.015635026182,144.035337674333,141.963287374829,138.052272237274,142.19740633593,144.769643112313,144.661333376376,145.408423939241,139.233744673936,144.48107504227,141.58231456183,144.653867730301,137.701609047794,136.249895947899,142.344673272629,152.15044854042,155.577510883957,152.627660543979,151.777391907161,141.540584794259,154.767481461752,151.789562354078,150.180382405401,152.030545054575,150.43962716905,153.500941633878,151.337884652382,147.412462736433,151.525458966438,154.311497407065,154.157380941972,154.84129364261,148.478812906016,153.956678979878,151.007804732332,154.142243506787,146.981951568216,145.48513022595,151.811345830773
2011,139.850909057521,133.027608660074,138.241217128286,131.351354406895,136.001248541135,135.484127644877,135.956340364847,135.596118606669,135.998029613561,134.841232923454,134.665425951479,135.953777141509,134.432294500543,133.321860909401,134.301437439136,138.49903942755,137.367301068677,138.053018492321,137.285487640747,131.526867337143,134.982841280341,137.643585090373,135.824268995902,130.980764174124,152.552688271841,145.523842051707,150.931427150517,143.779560612424,148.615518444989,148.162670626677,148.660474802263,148.274868462487,148.530469072136,147.315585511416,147.305435887655,148.529326300117,147.023041283617,145.902867692306,146.970522205175,151.12986942602,150.009547822169,150.708185185895,150.005350414456,143.97506251197,147.554990926311,150.218952938641,148.468890679318,143.550806920618
2012,139.092534217695,131.989420825862,135.87296535573,135.074011398979,134.809715253938,132.608853178186,135.436802824481,138.382494241124,134.709225735744,134.504277196365,133.946537578082,131.515860026346,140.223154801267,135.107429629729,139.467668935298,138.028109522538,136.685835710178,130.798100642804,140.673261873447,138.414768481381,135.437659970835,136.781669056969,137.833061375903,138.270125503173,150.390885410784,143.166484321398,147.134712074517,146.318521877223,146.040754941358,143.843217651402,146.709065996478,149.72353172744,145.975950693207,145.826699985981,145.164292691299,142.69314591926,151.627968481455,146.389252606365,150.849351760966,149.368103303604,148.003536553877,141.953252185245,152.102525838478,149.815894860214,146.663984249554,148.039796208652,149.193881494296,149.582213662336
2013,136.949058019352,137.778139126892,134.351882800758,144.290929969845,134.666530866922,138.257268828684,133.3117473421,137.305178833419,133.33938648071,134.979564402999,136.233127518547,131.901875049587,140.998933062491,134.371186277731,132.917655350116,138.450443488725,142.898761497581,141.072786602335,137.029922639687,140.859841254935,133.652277982453,133.216150898291,136.143626986997,133.16769101787,146.902658345601,147.790419584157,144.159736695522,154.339771948545,144.669435414722,148.274709398545,143.225303738967,147.231890889479,143.277683344148,144.978807897268,146.248366897685,141.833516764675,151.018819190354,144.261213470266,142.748901095302,148.53599702401,152.858970187317,151.147180395799,146.948491688349,150.938542855441,143.632230899185,143.121526077203,146.115658535856,142.952417981202
2014,144.722301689874,141.171642515428,133.610228728067,134.11887660144,129.712085782196,134.644021818199,130.043058488472,129.396649997123,136.013125770651,132.839203795194,137.075049882477,135.844364227856,140.2214300169,135.851758880308,136.106083528926,138.366253067958,134.666697187416,132.747171546056,136.924751309856,140.285775599242,137.604310045175,139.290132826059,137.028538085991,136.865183169487,153.40677262328,149.930414581231,142.124972718261,142.540918171316,138.338402649896,143.279382062069,138.601458686499,137.771249873503,144.76398139221,141.524758575556,145.81539650867,144.474484184924,148.933776464597,144.503910969527,144.761999395306,147.131488032182,143.268211901604,141.3078274027,145.645068458382,148.905563983932,146.341961810517,147.929475724654,145.738750713318,145.523589027858
2015,138.429504709893,131.327093635792,140.255836911872,132.525944722696,134.323451148503,135.020178521021,134.800834877681,133.058837694172,135.564060958728,141.286207544593,137.216236531425,136.853295359413,130.89161925058,140.291849197801,137.11438363513,140.835547858951,134.307555171031,136.954897086927,134.932231450786,139.20495869471,140.464866184139,134.658773376261,135.370869850713,136.926628921429,145.651536821846,138.463169462684,147.612445660564,139.629785945454,141.631703841166,142.341252636122,142.169566855034,140.316991770543,142.951202700704,148.734262825627,144.54219755684,144.153761158613,138.028450656614,147.674044540921,144.493547174608,148.20743765153,141.561187170431,144.367719043854,142.197246719095,146.500461954189,147.836242691238,141.92935542758,142.727876144875,144.280150343758
2016,136.488948842747,142.024578145205,142.443984716716,137.658757214124,139.847159989723,137.721043933898,136.154313268011,141.331179269106,139.937103980535,136.451508635968,133.233961845603,137.21487392963,134.444004575697,144.078402583649,134.144239157885,139.697472998752,137.681800921613,137.355592564055,139.392212134874,138.80806517623,137.343148860861,137.734571009585,136.040908665085,133.961508608508,142.499516062398,148.028606023078,148.534834333353,143.715265656229,145.904737384067,143.752138518256,142.155764904063,147.330034708389,145.930379455413,142.423490621429,139.256075177315,143.209918452792,140.350972434194,150.215696404823,140.021384618169,145.707491388973,143.629772304187,143.405895410294,145.237304641429,144.814773391194,143.252536683827,143.701404511735,142.021122241289,139.859499970885
2017,134.562562760864,141.485086826499,142.339139238885,138.842776511748,134.808049576352,134.518053921396,131.185794041566,139.223134149646,134.538614473714,131.856542377727,137.266190948334,134.930316264697,135.449743498845,135.161958808522,135.360687880778,136.889711202506,136.940583671703,129.601837767138,141.552529056351,136.852118859929,133.397614627877,135.021856169575,139.765172935193,137.100772227777,139.009715570153,146.181411390749,146.983253427721,143.358398374613,139.444787775808,139.186193235362,135.681185816632,143.899283333475,139.134414710039,136.285189945556,141.989287487369,139.554613584729,140.096770167941,139.78300862757,139.99364573648,141.524959753471,141.63902475207,134.025404021179,146.374827255235,141.398550611572,138.01244391969,139.739119770001,144.428861417689,141.758052150156
2018,142.132790874453,138.753230928522,135.760341552357,140.264911770904,136.637253194853,135.777361206562,137.231106955663,137.694669312729,137.469913624137,135.911756354137,133.312904705282,137.984181472723,138.677296355215,136.771283381428,135.750204027451,139.757104906336,134.154512220219,134.134876014901,136.288510344345,140.113815459576,136.420866035593,139.564635893162,137.148145311339,136.850278108132,145.538956128819,142.116203118609,139.074316336152,143.490015321196,140.042708562042,139.127994206689,140.686030824916,141.008308128103,140.766087831883,139.319440214318,136.555772181713,141.326137964234,142.058936306971,140.011433702524,139.074592091758,143.110458076384,137.415981072431,137.462558766579,139.638032311698,143.483872136457,139.714658488947,142.859269396615,140.530647733927,140.215633090603
2019,135.129321352726,137.816082963671,143.226120126292,136.321849804073,139.518887473131,133.226828275401,139.659334725442,142.800780640348,137.55112674829,134.455389819308,138.844427992132,139.924618351129,139.25077156852,137.887395617917,138.108648558706,140.399389198057,138.772692660797,134.506513483149,139.721406561181,138.416645134695,132.09583157588,137.81120675971,137.408557400599,136.11386291646,137.002385651885,139.719983801503,145.34604920133,138.125981951964,141.652074661807,135.198332470573,141.80976475671,144.830830245045,139.549249744989,136.49493453966,140.973312481231,141.9573042142,141.348848469492,139.984401640363,140.12799722919,142.465453000099,140.751871897987,136.47471547651,141.798963126635,140.456567208119,134.060093541764,139.82580447182,139.426180712828,138.115870386662
