Year,Month,Day,csiro-mk3-6-0.1.rcp45,csiro-mk3-6-0.2.rcp45,csiro-mk3-6-0.3.rcp45,csiro-mk3-6-0.4.rcp45,csiro-mk3-6-0.5.rcp45,csiro-mk3-6-0.6.rcp45,csiro-mk3-6-0.7.rcp45,csiro-mk3-6-0.8.rcp45,csiro-mk3-6-0.9.rcp45,csiro-mk3-6-0.10.rcp45,csiro-mk3-6-0.1.rcp85,csiro-mk3-6-0.2.rcp85,csiro-mk3-6-0.3.rcp85,csiro-mk3-6-0.4.rcp85,csiro-mk3-6-0.5.rcp85,csiro-mk3-6-0.6.rcp85,csiro-mk3-6-0.7.rcp85,csiro-mk3-6-0.8.rcp85,csiro-mk3-6-0.9.rcp85,csiro-mk3-6-0.10.rcp85,gfdl-cm3.1.rcp85,gfdl-esm2g.1.rcp45,gfdl-esm2g.1.rcp85,gfdl-esm2m.1.rcp45,gfdl-esm2m.1.rcp85,miroc-esm.1.rcp45,miroc-esm.1.rcp85,miroc-esm-chem.1.rcp45,miroc-esm-chem.1.rcp85,miroc5.1.rcp45,miroc5.2.rcp45,miroc5.3.rcp45,miroc5.1.rcp85,miroc5.2.rcp85,miroc5.3.rcp85
2010,1,1,0.022,0,0,0,0,0,0,0,0,0.678,0,0,0.148,0,0,0,0.158,1.121,0,6.8,0.72,0.099,27.453,3.178,0,0,0,5.455,2.505,0.009,10.939,0.958,0.447,0,0
2010,1,2,6.807,0,0,0,0,0,0.017,0,0,1.308,0,0,0.206,0,0,0,0,0,0,1.623,0.028,0.02,8.012,0,0,0.002,0.701,6.23,0,0.159,6.125,0.132,13.004,0,0
2010,1,3,4.31,0,0,0.807,0.003,0,1.39,0,0,0.716,0,0,0.074,0.417,0.004,0.726,0,0,0,0,0,0,0.545,0,0,0,0.152,3.374,0,0.081,0,0,0.687,0,0
2010,1,4,0.424,0,0,8.457,0,0,0,0.065,0,0,0,0,0,0.648,0,0.077,0,0,0,0,0,0,0,0,0,0,0,0.103,0.003,0,0,0,0,0,0
2010,1,5,0,0,0,13.577,0.75,0.014,0,0,0,0,0,0,1.913,0.018,0,0,0.001,0,0.064,0,0,0,0.028,0,0,0,0.853,11.321,0,0,1.2,0,0,0,0
2010,1,6,0,0,0,5.228,3.844,1.574,0,0.249,0,0.003,0,0,1.506,0,0,0,0,0,0,0,1.356,0,6.839,0,0,0,0.581,0.306,0.005,4.468,0.301,0,0,0,0.255
2010,1,7,0.017,0,0,4.549,1.126,0,0,0.095,0,0.004,0,0.241,0.017,0,0,0,0.258,0,0,0,1.406,0,1.471,0,1.128,0,0.043,3.763,1.716,8.068,0,0,0,0,0
2010,1,8,2.893,0,0,1.767,0.008,0.02,0,13.038,0.349,0.005,0,1.865,0,0,0,0,0.495,0.027,0,0,0.202,0,0,0,9.811,0,0.02,6.316,2.575,6.9,0,0,0,0,0
2010,1,9,0.884,0,0,0,0,0,0,2.023,0,2.598,0,3.67,0.339,0.1,0,0,0,3.832,0,0,0.002,0,0,0,0.942,0,0,0,0,0.242,0,0,0,0,0
2010,1,10,1.562,0,0.028,0,0,0,0,0,0.001,0.963,0,0.32,0.06,0.061,0,0,0,1.811,2.281,0,0,0,0,0.009,6.499,0,1.339,0,0,3.638,0,0,1.229,0,0
2010,1,11,0,0.002,0.415,0.108,0,0,0,0,0.353,0.014,0,0,6.86,0,0.922,0,0,5.428,2.095,0,0,0.088,0,0,3.018,0,0,0,0.007,0.327,0,0,0,0,0
2010,1,12,0,0,7.766,0,0,0.001,0,0,0,0,0,0,2.571,0,0.1,0,0,10.364,2.285,0.347,0,0,0,0,6.827,0,0,0,3.222,0.002,0,0,0.02,0,0
2010,1,13,0,0,5.405,0.417,0,0,0.008,0,0.121,0,0,0,0,0,0.351,0,0,0.046,0,0.12,0,0,0,0,15.405,0,0,0,1.372,5.608,0,0,0.259,0.035,0
2010,1,14,0,0,15.323,6.943,0,0,0,0,0,0,0,0,0,0,0,0,0,0.454,0,0,0.007,0,0,0,2.542,0,0.07,0,0,5.259,0,0,0.014,0.003,0
2010,1,15,0,0,10.128,8.975,0.036,0,0.301,0.124,0,0,0,0.007,0,0.353,0,0,3.559,0.024,0,0,1.244,0,0,0,0,0,0.008,0,0.014,0.432,0,0,0,0,0
2010,1,16,0,0,26.695,0.047,0.606,0,10.409,2.334,0,0,0,0,0.011,0,0,0,0.804,0,0,0,0.02,0,0,2.469,0,0,0,0,3.038,1.877,0,0.001,0,0,0
2010,1,17,0,0,10.664,0.565,0,0,2.248,1.372,0,0,0,0,0,0,0,0.014,0,0,0,0,0,0,0,10.382,6.769,0,0.028,0.025,1.429,0,0.147,0.519,0,0,0
2010,1,18,0,0,0.059,0.65,1.403,0,0.078,0,0.036,0,0.565,0.144,0,0,0,0,0,0,0,0.102,1.153,0,0,0.316,10.81,0,0,0,0,0,0.358,9.757,0.007,0,0
2010,1,19,0,0,0,0.094,1.363,0,0.017,2.4,0,0,0.001,0,0,0,3.975,0.29,0,0,0,0.196,0.683,0,0,0,0.467,0,0.235,0,0.134,0.014,5.838,0,0,0,0.248
2010,1,20,0,0,0.009,0,4.014,0,0,4.044,0,0,0,4.522,0.132,0,0.954,2.44,0,0.067,0,0,0.682,0,0.295,6.301,0,0,0.326,0.021,0,1.602,8.871,0,0,0,0
2010,1,21,0,0,0.144,0,4.944,0,0,1.224,0,0,0,1.155,0.36,0,0,0,0,0,0,0,0,0,0,10.159,0.002,0,4.843,0,0,2.889,0.636,0,0,0,0.234
2010,1,22,0,0,0,0.034,0.43,0,0,0.583,0,4.632,0,0,0,0,0.124,0,0,0,0,0.295,0,0,0,0.009,3.928,2.979,0,0,0,1.505,0,0.01,0,0,2.284
2010,1,23,0,0,0,0,0,1.405,0,0.001,0,4.19,1.024,0,0,0.196,4.588,0,0,0,0,1.046,0,0,0,0,10.262,15.348,0,3.089,0,1.781,0,0,0.652,0.006,0.008
2010,1,24,0,0,0,0,0,13.974,0,0,0,0.319,0.279,0,0,0,1.436,0,0,0,0,1.123,0,0,0,0,2.455,0.175,0,1.026,0.788,3.871,0,0,0.692,0,0
2010,1,25,0,0.003,0.003,0,0,5.528,2.045,0,0,1.11,3.806,0.027,0,0,0,0,0,0,0,0,0.009,0,0,0,0,0,0,0,0.138,13.974,0,0,0,0,0
2010,1,26,0,0,2.57,0,0,1.226,0.241,0,0,1.079,0,0,0,0,0,0,0.005,0,0,0.305,0.003,0,0,0,0,0,0,0.146,0,0.969,0,0.091,0,0,0
2010,1,27,0,0,0,0,0,0.686,0,0.699,0,0.003,0.227,0,0.203,0,0,0,0.242,0,0,1.245,0,0,0,0,0,1.715,0.135,0.621,0,0.133,0,0.06,0.295,0.654,0
2010,1,28,0,0,0.053,0,0.143,1.405,0.001,0.053,10.246,1.669,2.885,0,0.001,0,0,0,0,0,1.433,4.218,0,3.679,0,0,0,8.707,0.004,0,0.026,0,0,0,0.093,0.08,0
2010,1,29,0,0,1.782,0,0,2.47,0,0,7.643,6.822,0,0,0.159,0,0,0,0,0,8.289,1.6,0,3.884,0,0,0,0,0,0.047,5.506,0.042,0,0,0.223,0,0
2010,1,30,0,0,0,0,0.012,0,0.033,0,0.354,0.474,4.595,0.003,7.789,0,2.942,0.024,0.046,0,0.263,2.98,0,0.88,0,0,0,0,0.003,0.045,0.52,0.009,0,0,0.014,0,0
2010,1,31,0,0,0,0,0.459,0,0,0,0,0,6.354,0,9.549,0,4.829,1.784,0,0,2.441,1.339,0,0,0,0,7.466,0,0.013,0.014,0,2.411,0,0,1.247,1.601,0
2010,2,1,0,0,0,0,0.372,0,0.02,0,0.809,0,3.082,0,2.733,0,0.221,0.881,0,0.015,7.252,0.654,0.003,0,0,0,8.856,0,0,0,0,0.315,0,0,0.033,6.316,0.031
2010,2,2,0,0,0,0,0,0,0,0,0.001,0,0,0,0.147,0.005,0,14.082,0,0.044,2.943,2.348,0,0,0,0,1.119,0,0,0,0.02,0.028,0.034,0,0,0.002,0
2010,2,3,0,0,0,0,0,0,0,0,0,0,0,0,2.574,0.041,0,0.059,0,4.908,0.728,1.883,0,0.438,0,0,0.13,0,0,0,0,0.003,0.02,0,0.733,0,0
2010,2,4,0,0,0,0,0,0,0,0,0,0,0,0.019,0,0,0.001,1.512,0,0.284,2.431,0.803,1.785,5.645,0,0,1.023,9.364,0,0,0.017,0.032,0.007,0,0.687,0,0.019
2010,2,5,1.016,0,0,0,0,0,0,0,0,0,0,0,0,6.188,0,4.265,0.223,0,1.23,10.073,0.119,0.192,0,0,0.944,4.094,0,0,0.001,11.167,0,0,0,0,0
2010,2,6,3.177,0,0.98,0,0,0,0,1.726,0,0,0,2.159,0.2,0.681,0,0,0.356,0,0,9.504,0,0.043,0,0,0,8.244,0,0,0,1.106,0,0,0,0.003,0
2010,2,7,0,0,10.943,0,0,0,0,0.876,0,0,0,5.04,0,0,0,0,0,0,0,10.164,0,0.094,0,0,0,0,0,0,0,8.747,0,0,7.027,0,0
2010,2,8,0,0.045,16.376,0.14,0,0,0,0,0.087,1.161,0,1.832,0,0,0.341,0,0.045,0.003,0.285,0,0,0,0,0,0,0,0,0,0,10.165,0.552,0,9.562,0.001,0
2010,2,9,0,0.682,3.883,2.396,0,0,0,0,0.034,4.922,0,0.044,0.001,0,0.019,0,7.069,0.633,4.202,4.867,0,0,0.003,0,0,0,0,0,0,10.152,4.196,0,0.042,0,0
2010,2,10,0,3.081,0,0.001,0,0,0.07,0,0,0.311,3.08,0.335,0.058,0,1.433,0.02,4.687,0.571,0.119,3.509,0.058,0,0,0,0,0,0,0,0.003,1.208,0,0,0,0.002,0.042
2010,2,11,0,0.257,0.015,0.008,0,0,0,0,0,0,15.104,0.773,0.251,0,10.938,1.041,0,10.201,0,0.133,0,0,0.001,1.25,2.408,0,0,0,0.008,5.568,0,0,0.077,2.557,0
2010,2,12,0,0,2.714,0.304,1.074,0,0,0,0,4.04,16.901,0.003,14.762,0,12.898,0,0,0.399,1.617,0.147,0,0,0,16.889,10.427,0.289,0,0,0.09,1.1,0,0,0.016,0.571,0
2010,2,13,0,0,1.886,0.004,4.017,0,0,0,0,6.208,2.66,0.294,2.98,0,3.91,0,0,0.165,0.965,0,0,0,0,4.056,1.223,0,0,0,0,0.022,0,0.063,0,0,0
2010,2,14,0,0.49,11.255,0,0.058,0,0,0,0,6.594,8.563,0.002,0.941,0.193,0.95,0,0,0.06,0,0,0,0,0,0.878,4.856,0,0,0,0,2.099,0,0,2.186,0.042,0
2010,2,15,0,0,5.558,0,0,0.194,0,0.119,0,7.804,1.527,0.165,0.878,0.005,0,0,0,0,0,0.018,1.732,0,0,0.59,1.63,0.028,0,0,0,1.26,0,0,0.329,0,0
2010,2,16,0,0,0.493,0.148,0.09,0.95,0,0.762,0,0.687,0,0.005,0.242,0.082,0,0,0.018,0,0,0.491,0.07,0,1.056,6.509,0,0,0,0,0,0.089,0,0,0,0.018,0
2010,2,17,0,0,0,0.184,0,0.039,0,0,0,1.629,0,0,0.122,11.872,3.902,0,0.449,0,0,7.143,0,0,0.001,2.449,0,1.113,0.043,0.002,0,0,0,0,0,0,0
