Year,Month,Day,csiro-mk3-6-0.1.rcp45,csiro-mk3-6-0.2.rcp45,csiro-mk3-6-0.3.rcp45,csiro-mk3-6-0.4.rcp45,csiro-mk3-6-0.5.rcp45,csiro-mk3-6-0.6.rcp45,csiro-mk3-6-0.7.rcp45,csiro-mk3-6-0.8.rcp45,csiro-mk3-6-0.9.rcp45,csiro-mk3-6-0.10.rcp45,csiro-mk3-6-0.1.rcp85,csiro-mk3-6-0.2.rcp85,csiro-mk3-6-0.3.rcp85,csiro-mk3-6-0.4.rcp85,csiro-mk3-6-0.5.rcp85,csiro-mk3-6-0.6.rcp85,csiro-mk3-6-0.7.rcp85,csiro-mk3-6-0.8.rcp85,csiro-mk3-6-0.9.rcp85,csiro-mk3-6-0.10.rcp85,gfdl-cm3.1.rcp85,gfdl-esm2g.1.rcp45,gfdl-esm2g.1.rcp85,gfdl-esm2m.1.rcp45,gfdl-esm2m.1.rcp85,miroc-esm.1.rcp45,miroc-esm.1.rcp85,miroc-esm-chem.1.rcp45,miroc-esm-chem.1.rcp85,miroc5.1.rcp45,miroc5.2.rcp45,miroc5.3.rcp45,miroc5.1.rcp85,miroc5.2.rcp85,miroc5.3.rcp85
2010,1,1,15.924,21.213,16.294,14.498,14.873,23.166,17.3,17.387,13.322,12.649,21.586,13.43,16.848,14.57,23.224,17.458,21.299,14.736,19.039,10.564,18.412,16.952,17.278,15.596,15.369,13.419,13.763,19.731,15.998,14.862,11.964,6.832,19.624,15.798,19.368
2010,1,2,14.76,20.76,16.222,17.109,12.564,21.636,15.649,16.927,11.582,11.719,16.297,13.51,14.352,13.286,22.425,19.945,20.198,14.586,19.408,9.281,15.726,18.944,13.615,9.415,18.02,12.518,14.093,19.172,17.518,16.329,12.741,8.07,16.476,17.304,19.749
2010,1,3,10.984,18.653,14.212,18.733,12.855,20.798,12.708,17.59,11.582,11.995,9.849,12.91,15.929,12.749,21.599,20.222,19.565,18.328,20.369,13.731,12.216,18.212,6.288,15.254,20.069,15.208,14.334,19.331,19.308,16.751,9.474,10.673,8.305,15.558,19.936
2010,1,4,13.165,15.911,11.526,14.605,13.734,19.553,15.398,16.267,9.206,13.835,12.809,15.57,19.056,11.681,22.702,20.984,19.866,20.306,21.249,14.89,12.582,15.831,17.638,21.226,20.381,14.488,14.96,17.167,22.36,16.742,9.565,10.138,7.477,16.038,18.517
2010,1,5,14.014,13.903,9.385,15.759,11.984,17.676,15.069,17.402,9.123,18.145,15.289,16.8,16.229,13.864,21.773,21.381,17.512,18.906,20.579,16.301,16.696,12.885,19.762,22.316,21.276,11.778,16.423,14.824,23.732,17.346,8.447,12.663,9.706,18.018,15.039
2010,1,6,14.625,17.303,6.753,15.692,10.394,14.946,16.532,17.457,16.262,16.803,19.706,17.46,14.489,14.484,22.275,20.414,15.386,19.629,20.559,18.441,16.046,12.776,18.476,21.055,20.985,12.765,13.993,7.401,22.299,15.322,9.474,15.387,14.197,18.98,10.047
2010,1,7,14.584,15.923,11.032,10.929,12.827,17.494,14.698,16.267,20.857,15.714,23.434,17.0,16.491,15.557,24.851,16.276,15.306,19.846,19.174,17.961,12.256,13.422,13.593,19.636,20.058,14.524,13.974,9.121,23.427,12.768,9.498,17.814,15.241,19.938,6.738
2010,1,8,13.874,15.967,12.722,9.419,13.984,18.934,15.622,14.648,19.257,11.745,22.239,14.615,15.929,14.354,23.399,17.932,14.906,18.536,17.959,17.728,9.576,15.6,8.608,18.606,18.159,15.227,14.423,12.146,20.488,12.93,9.491,19.427,16.126,19.593,10.902
2010,1,9,10.971,15.633,12.252,14.633,13.779,18.906,18.625,13.157,16.078,10.34,20.009,9.178,15.399,10.999,23.468,18.052,16.151,15.486,17.889,19.401,10.749,15.244,8.351,17.606,17.445,15.557,15.163,10.861,22.065,15.572,13.304,17.479,15.493,19.024,15.267
2010,1,10,6.239,18.27,11.379,18.333,13.507,22.292,18.727,16.927,17.698,11.907,15.808,9.919,14.913,11.979,26.527,16.496,18.556,15.03,16.349,20.653,10.851,14.912,10.868,17.485,15.077,12.708,12.773,13.482,18.886,14.992,12.956,18.293,13.946,18.758,18.904
2010,1,11,5.588,19.913,11.632,18.559,14.397,21.505,18.026,15.767,16.792,10.977,17.839,14.3,13.38,11.074,25.366,15.026,21.585,14.889,14.671,20.261,14.066,13.726,13.342,16.566,15.433,15.648,9.4,15.745,17.028,17.934,12.124,17.913,15.293,19.171,21.112
2010,1,12,10.434,21.105,10.503,18.699,15.864,17.476,19.182,15.277,15.842,7.804,19.229,17.982,10.986,13.612,20.45,18.836,22.286,13.181,15.159,18.471,13.877,13.414,14.427,16.189,12.639,15.597,7.477,15.441,14.378,19.226,14.044,19.602,14.879,18.594,21.172
2010,1,13,13.854,21.277,11.562,17.359,15.634,12.986,21.0,17.596,18.191,11.434,19.851,18.743,13.979,15.744,18.528,21.907,20.797,14.653,16.648,14.806,15.154,15.02,16.058,15.714,14.74,18.109,10.935,12.574,7.168,18.392,19.018,19.732,14.359,17.718,21.848
2010,1,14,15.617,19.248,11.385,14.953,16.378,11.999,19.703,18.267,16.066,16.435,20.324,18.75,15.197,14.824,16.948,22.633,19.2,14.226,17.819,15.971,13.968,17.212,17.598,14.586,11.973,15.216,15.235,16.951,6.598,15.272,18.244,18.293,15.411,21.208,23.708
2010,1,15,18.734,20.222,13.162,15.217,16.684,10.748,21.719,16.927,11.592,22.295,19.039,17.48,13.596,12.634,14.778,21.676,15.848,13.515,18.919,17.495,10.826,18.242,18.338,14.226,9.979,11.032,17.723,16.609,10.468,11.785,18.321,17.859,16.086,21.88,23.772
2010,1,16,17.19,18.963,15.819,14.759,15.634,14.038,18.307,12.437,11.802,22.222,16.079,17.457,13.959,13.516,13.352,21.201,8.839,14.616,18.759,17.464,7.266,19.538,19.649,13.323,12.648,10.018,17.759,14.131,13.378,13.972,15.724,16.789,16.546,23.299,23.774
2010,1,17,13.076,15.04,15.495,15.154,17.164,18.812,12.798,6.187,12.792,19.715,15.815,18.17,17.029,14.404,14.137,22.916,9.872,17.756,21.469,19.168,10.296,18.652,19.698,14.653,11.839,13.168,16.913,13.232,14.948,16.034,12.589,15.39,17.616,23.283,21.645
