Year,Month,Day,csiro-mk3-6-0.1.rcp45,csiro-mk3-6-0.2.rcp45,csiro-mk3-6-0.3.rcp45,csiro-mk3-6-0.4.rcp45,csiro-mk3-6-0.5.rcp45,csiro-mk3-6-0.6.rcp45,csiro-mk3-6-0.7.rcp45,csiro-mk3-6-0.8.rcp45,csiro-mk3-6-0.9.rcp45,csiro-mk3-6-0.10.rcp45,csiro-mk3-6-0.1.rcp85,csiro-mk3-6-0.2.rcp85,csiro-mk3-6-0.3.rcp85,csiro-mk3-6-0.4.rcp85,csiro-mk3-6-0.5.rcp85,csiro-mk3-6-0.6.rcp85,csiro-mk3-6-0.7.rcp85,csiro-mk3-6-0.8.rcp85,csiro-mk3-6-0.9.rcp85,csiro-mk3-6-0.10.rcp85,gfdl-cm3.1.rcp85,gfdl-esm2g.1.rcp45,gfdl-esm2g.1.rcp85,gfdl-esm2m.1.rcp45,gfdl-esm2m.1.rcp85,miroc-esm.1.rcp45,miroc-esm.1.rcp85,miroc-esm-chem.1.rcp45,miroc-esm-chem.1.rcp85,miroc5.1.rcp45,miroc5.2.rcp45,miroc5.3.rcp45,miroc5.1.rcp85,miroc5.2.rcp85,miroc5.3.rcp85
2010,1,1,-5.292,-1.736,0.054,-4.028,-1.671,0.476,-2.364,-0.24,-6.388,1.886,2.776,-4.58,-0.422,-2.115,0.038,-1.719,1.875,1.373,-2.206,-1.506,8.722,6.363,8.443,0.156,0.386,-4.106,-5.127,5.544,8.935,-0.228,4.256,-2.146,0.438,-3.162,-1.984
2010,1,2,2.126,-1.87,-2.325,-3.125,-2.234,-0.386,1.712,-1.141,-7.287,4.264,-3.659,-1.73,0.813,-3.032,-0.282,-2.733,0.708,-1.898,-2.264,-2.329,2.036,3.294,-3.455,-4.355,1.723,-3.792,-2.447,10.667,-0.422,0.549,5.283,-4.366,5.288,-3.296,-1.041
2010,1,3,2.555,-2.348,-3.95,-0.897,-3.457,-1.706,0.083,-2.31,-7.238,3.894,-8.023,-2.604,-2.141,-2.539,0.24,-1.187,-1.736,-2.462,-0.444,-2.069,-1.794,-2.848,-2.992,-4.92,0.96,-3.473,-1.828,9.161,1.712,0.611,-1.65,-5.527,-2.078,-4.316,-1.974
2010,1,4,-2.053,-3.16,-4.669,5.924,-3.296,-0.317,-2.342,-1.673,-7.392,-1.995,-6.393,-3.07,-1.555,0.443,0.363,3.954,-0.164,-1.735,-0.071,-3.167,-2.496,-2.579,-3.962,-0.754,-0.329,-1.492,-2.96,2.774,4.745,-1.838,-6.125,-4.132,-6.863,-4.512,-0.407
2010,1,5,-2.807,-5.063,-5.601,8.599,-3.506,-2.757,-2.921,-1.82,-7.247,-2.084,-3.237,-2.27,1.539,-2.516,1.191,-1.232,-1.988,-1.368,-0.771,-1.101,-2.026,-5.35,4.662,0.825,0.171,-3.461,1.563,3.787,6.317,-2.902,-3.973,-4.162,-6.099,-3.959,-4.921
2010,1,6,-2.865,-3.403,-4.481,5.914,1.66,4.456,-3.281,4.837,-5.657,-0.217,-1.724,-2.02,1.849,-3.757,-0.755,-1.356,-3.075,-1.851,-1.3,-0.347,2.356,-5.334,6.408,0.536,4.011,-4.657,2.882,-3.524,7.439,4.199,-5.659,-4.32,-5.45,-2.906,-1.863
2010,1,7,-2.194,-4.107,-7.092,-0.565,-1.053,-1.936,-2.634,-1.018,-1.168,-1.196,0.312,-0.74,-1.459,-3.403,1.441,-3.933,-1.15,-1.594,-2.266,-0.649,-3.294,-5.001,-4.416,-0.795,8.56,-5.516,-1.228,-2.907,7.31,4.449,-4.872,-2.296,-1.669,-2.698,-5.91
2010,1,8,2.639,-3.133,-3.573,-5.481,-2.396,0.55,-4.844,2.027,-0.353,0.861,-0.791,4.037,-2.081,-2.018,2.267,-2.268,1.186,0.462,-2.833,-0.612,-1.914,-4.322,-2.542,-0.379,8.581,-2.181,-0.307,2.826,7.528,5.698,-3.799,-0.393,-4.046,-2.098,-6.728
2010,1,9,-2.624,-2.469,-3.61,-3.214,-2.591,2.529,-2.635,1.289,-0.715,-1.823,-3.01,-2.17,-1.651,-0.491,0.238,-2.126,-4.012,1.316,-0.851,-0.749,-7.481,-3.138,-5.364,2.158,1.315,-1.893,-4.257,-3.67,3.079,-0.378,-5.846,-1.097,-1.587,-3.215,-3.353
2010,1,10,-6.771,-3.193,-1.965,-2.357,-3.776,-1.496,-2.172,-1.939,-0.499,-3.434,-1.757,-2.63,0.623,-2.66,1.186,-3.424,-2.143,3.89,2.655,-0.74,-7.604,-2.925,-4.432,1.102,5.275,-4.334,-0.494,-5.44,1.378,3.588,-4.525,-2.452,0.186,-2.83,-3.321
2010,1,11,-9.802,-1.367,-2.708,-0.051,-4.36,0.225,-3.022,-1.823,3.995,-3.803,-3.351,-1.72,0.214,-4.626,4.822,-4.064,-1.43,-0.296,0.796,0.381,-3.599,-0.314,-3.208,-2.054,1.963,-5.326,-2.959,-3.675,1.442,3.336,-5.543,-2.007,-4.035,0.845,-0.368
2010,1,12,-6.667,-1.346,3.986,1.172,-2.776,-2.841,-2.298,-2.874,-4.086,-6.716,-5.046,-1.718,-0.513,-4.278,5.304,-2.262,-0.443,4.268,2.539,-1.455,-3.679,-1.916,-3.203,-1.861,-2.157,-3.213,-7.143,-2.333,1.908,1.376,-3.806,-0.228,-1.541,-0.706,1.252
2010,1,13,-5.129,-0.323,5.045,4.446,-2.291,-5.354,0.203,0.096,-0.999,-6.448,-3.48,-1.919,-3.241,-3.9,6.0,-1.503,-1.656,-2.057,-1.137,-2.684,-5.666,-3.611,-3.362,-3.189,5.116,-3.151,-8.567,-3.966,-7.732,6.51,-2.336,0.399,-0.055,-1.462,-1.35
2010,1,14,-4.943,2.698,4.015,6.516,-2.203,-6.131,1.463,-2.623,-2.715,-2.455,-3.332,-0.043,-2.719,-1.65,-0.588,-1.771,-1.836,-1.632,-2.331,-3.999,-3.972,-3.923,-2.157,-4.334,1.221,-0.334,-3.778,-4.271,-6.624,5.582,-2.164,0.061,-0.679,-1.155,-0.742
2010,1,15,-2.986,1.002,5.373,8.445,-1.328,-3.992,0.438,0.337,-4.188,1.205,-2.881,1.27,-1.634,-1.639,-3.612,-0.099,-2.34,-2.044,-2.221,-2.357,-5.034,-2.917,-1.345,-1.544,-4.808,-6.474,-0.354,-3.429,-4.722,0.093,-3.599,1.333,-2.544,-0.366,1.525
2010,1,16,-1.145,-1.427,6.185,-1.351,0.152,-7.192,6.247,0.428,-7.868,1.552,-4.526,1.664,-1.241,-3.763,-3.938,-0.995,-3.62,-2.844,-2.631,-3.186,-8.284,-0.184,-0.978,0.933,-3.885,-7.041,-0.986,-3.529,-0.827,1.551,-5.612,0.94,-3.334,2.209,0.364
2010,1,17,-3.224,-2.725,6.726,2.634,-2.532,-4.975,2.795,-0.624,-2.548,0.495,-3.868,-1.228,-3.081,-1.686,-7.012,3.614,-6.758,-2.195,-1.761,-2.219,-7.364,-1.498,-0.082,-0.127,1.078,-4.107,1.033,-1.628,0.668,-1.55,-3.271,1.633,-2.544,1.691,0.658
2010,1,18,-5.451,-3.293,-1.135,5.727,3.364,-1.682,-1.402,-3.302,-2.9,-2.28,-1.882,3.67,-2.542,-4.075,-2.659,0.174,-7.708,-1.969,0.139,1.931,-4.313,-2.639,-1.93,4.228,3.937,-4.512,-0.094,-2.599,-1.192,-2.255,-7.366,-3.821,1.326,2.373,1.759
2010,1,19,-4.037,-1.882,1.885,-1.963,4.184,-1.93,-1.902,-2.324,-3.48,-2.097,-1.171,1.335,-1.14,-3.051,4.178,3.109,-5.603,-1.794,0.217,5.118,-1.325,-1.612,0.928,-0.025,-5.349,-1.154,0.001,-3.133,0.378,-0.89,-4.529,-5.636,-0.204,1.479,5.143
2010,1,20,-2.82,-2.618,0.412,-2.494,6.116,-0.565,-3.685,2.908,-3.297,-0.557,-3.311,4.427,1.717,-1.98,6.696,5.982,-2.501,2.875,-0.527,3.551,-3.35,-0.088,2.897,8.622,-6.101,0.04,4.489,-2.389,-3.171,1.844,4.55,-2.813,1.034,2.441,-0.338
2010,1,21,-3.339,-2.097,6.509,-2.913,1.323,-1.115,-2.672,-0.494,-1.802,-1.175,-0.787,-0.688,0.739,-1.876,-1.324,0.636,-1.574,-1.732,-0.957,1.094,-7.527,1.255,1.687,9.205,-5.959,1.806,4.55,-3.439,-1.881,2.795,-2.308,-1.558,0.036,1.035,2.793
2010,1,22,-2.905,-1.828,2.572,-2.075,-1.894,-0.552,-3.202,-1.302,-5.008,1.295,-1.582,-3.68,-0.781,0.053,3.805,-2.727,-1.915,-1.664,-0.985,4.13,-9.765,-0.178,0.068,3.046,-0.331,6.342,-3.287,-2.464,1.612,0.574,-4.003,0.361,-0.204,1.889,2.8
2010,1,23,-3.021,-0.047,-2.469,-2.841,-1.459,-2.194,-2.747,-3.018,-5.94,-0.67,2.627,-3.197,-1.851,0.474,5.595,-3.283,-2.838,-0.974,2.054,5.808,-9.382,-1.645,-1.141,-1.506,3.417,6.411,-2.271,0.905,1.768,0.166,-2.786,-4.362,1.353,2.684,-5.132
2010,1,24,-6.266,-1.277,-2.08,-2.061,1.671,3.851,-2.474,-2.242,-0.983,-2.053,-2.5,-0.397,-2.292,-2.316,-1.124,-3.694,-1.514,-1.114,-0.485,4.1,-7.303,0.115,-0.718,-1.594,-3.118,-3.406,-1.035,0.349,6.749,1.386,-1.636,-2.558,-3.574,-0.093,-3.963
