Year,Month,Day,csiro-mk3-6-0.1.rcp45,csiro-mk3-6-0.2.rcp45,csiro-mk3-6-0.3.rcp45,csiro-mk3-6-0.4.rcp45,csiro-mk3-6-0.5.rcp45,csiro-mk3-6-0.6.rcp45,csiro-mk3-6-0.7.rcp45,csiro-mk3-6-0.8.rcp45,csiro-mk3-6-0.9.rcp45,csiro-mk3-6-0.10.rcp45,csiro-mk3-6-0.1.rcp85,csiro-mk3-6-0.2.rcp85,csiro-mk3-6-0.3.rcp85,csiro-mk3-6-0.4.rcp85,csiro-mk3-6-0.5.rcp85,csiro-mk3-6-0.6.rcp85,csiro-mk3-6-0.7.rcp85,csiro-mk3-6-0.8.rcp85,csiro-mk3-6-0.9.rcp85,csiro-mk3-6-0.10.rcp85,gfdl-cm3.1.rcp85,gfdl-esm2g.1.rcp45,gfdl-esm2g.1.rcp85,gfdl-esm2m.1.rcp45,gfdl-esm2m.1.rcp85,miroc-esm.1.rcp45,miroc-esm.1.rcp85,miroc-esm-chem.1.rcp45,miroc-esm-chem.1.rcp85,miroc5.1.rcp45,miroc5.2.rcp45,miroc5.3.rcp45,miroc5.1.rcp85,miroc5.2.rcp85,miroc5.3.rcp85
2010,1,1,0.212,0.0,0.039,0.007,0.0,0.0,0.0,0.0,0.0,0.072,0.001,0.027,0.035,0.0,0.0,0.0,0.0,0.181,0.0,5.097,1.312,0.019,14.351,2.824,0.0,0.009,0.095,0.598,0.105,0.001,2.523,0.073,0.0,0.0,0.028
2010,1,2,2.699,0.002,0.014,0.199,0.322,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.781,0.0,0.0,0.005,0.012,0.0,0.005,0.001,0.0,0.0,1.717,0.0,0.0,0.0,0.018,2.565,0.0,0.0,4.489,0.02,6.931,0.07,0.0
2010,1,3,1.491,0.002,0.735,0.197,0.1,0.0,0.474,0.0,0.0,0.0,0.0,0.0,0.0,0.216,0.0,0.03,0.036,0.0,0.0,0.0,0.0,0.0,0.088,0.0,0.0,0.0,0.054,0.753,0.077,0.0,0.639,0.0,0.62,0.0,0.0
2010,1,4,0.0,0.006,0.0,4.906,0.009,0.0,0.0,0.0,0.001,0.0,0.044,0.0,0.0,0.085,0.0,0.037,0.011,0.001,0.014,0.0,0.007,0.0,0.0,0.0,0.0,0.031,0.075,0.062,0.0,0.108,0.887,0.0,0.0,0.007,0.003
2010,1,5,0.122,0.0,0.132,5.259,0.33,0.053,0.028,0.033,0.0,0.0,0.034,0.003,0.47,0.0,0.0,0.0,0.019,0.004,0.063,0.007,0.0,0.0,0.048,0.0,0.001,0.0,0.592,4.403,0.045,0.206,0.111,0.0,0.0,0.0,0.0
2010,1,6,0.0,0.0,0.113,5.482,0.866,0.411,0.0,0.181,0.0,0.086,0.0,0.0,0.016,0.072,0.0,0.0,0.142,0.0,0.001,0.0,0.182,0.0,1.706,0.002,0.0,0.0,0.775,0.046,0.0,4.089,0.623,0.0,0.0,0.005,0.077
2010,1,7,0.229,0.0,0.024,1.768,0.647,0.0,0.006,0.011,0.0,0.05,0.0,0.112,0.002,0.0,0.0,0.034,0.068,0.0,0.011,0.004,1.289,0.043,0.197,0.0,0.256,0.0,0.0,2.029,0.353,9.298,0.0,0.0,0.0,0.0,0.046
2010,1,8,2.675,0.024,0.0,0.0,0.003,0.0,0.013,16.574,0.01,0.504,0.02,3.197,0.0,0.155,0.0,0.0,0.059,0.393,0.02,0.0,0.0,0.203,0.232,0.0,7.139,0.003,0.036,1.983,0.094,4.534,0.0,0.002,0.0,0.012,0.0
2010,1,9,0.038,0.0,0.0,0.0,0.0,0.0,0.0,0.258,0.0,0.517,0.0,4.046,0.0,0.554,0.089,0.0,0.116,0.495,0.053,0.0,0.0,0.113,0.0,0.0,0.0,0.002,0.0,0.0,0.011,0.06,0.0,0.0,0.0,0.0,0.003
2010,1,10,0.648,0.0,0.018,0.0,0.002,0.0,0.001,0.0,0.042,1.984,0.0,0.02,0.004,0.084,0.186,0.0,0.027,0.028,0.228,0.008,0.019,0.286,0.0,0.009,3.024,0.0,1.674,0.007,0.0,7.964,0.008,0.0,0.68,0.346,0.0
