Year,Month,Day,csiro-mk3-6-0.1.rcp45,csiro-mk3-6-0.2.rcp45,csiro-mk3-6-0.3.rcp45,csiro-mk3-6-0.4.rcp45,csiro-mk3-6-0.5.rcp45,csiro-mk3-6-0.6.rcp45,csiro-mk3-6-0.7.rcp45,csiro-mk3-6-0.8.rcp45,csiro-mk3-6-0.9.rcp45,csiro-mk3-6-0.10.rcp45,csiro-mk3-6-0.1.rcp85,csiro-mk3-6-0.2.rcp85,csiro-mk3-6-0.3.rcp85,csiro-mk3-6-0.4.rcp85,csiro-mk3-6-0.5.rcp85,csiro-mk3-6-0.6.rcp85,csiro-mk3-6-0.7.rcp85,csiro-mk3-6-0.8.rcp85,csiro-mk3-6-0.9.rcp85,csiro-mk3-6-0.10.rcp85,gfdl-cm3.1.rcp85,gfdl-esm2g.1.rcp45,gfdl-esm2g.1.rcp85,gfdl-esm2m.1.rcp45,gfdl-esm2m.1.rcp85,miroc-esm.1.rcp45,miroc-esm.1.rcp85,miroc-esm-chem.1.rcp45,miroc-esm-chem.1.rcp85,miroc5.1.rcp45,miroc5.2.rcp45,miroc5.3.rcp45,miroc5.1.rcp85,miroc5.2.rcp85,miroc5.3.rcp85
2010,1,1,13.364,22.377,16.796,15.367,17.121,24.544,17.38,17.283,12.571,16.466,23.104,12.363,19.956,17.054,24.02,20.267,20.515,14.438,19.839,16.44,19.803,19.147,15.294,17.662,21.657,14.606,15.652,19.367,20.09,17.862,17.074,10.574,22.585,21.829,20.162
2010,1,2,11.959,22.45,16.557,18.446,15.349,21.302,18.242,20.207,13.612,14.829,18.598,15.438,18.216,14.861,22.471,24.304,17.511,18.0,23.667,8.089,17.966,19.287,12.697,10.47,20.536,17.811,17.094,19.377,17.72,16.3,15.598,10.341,19.676,17.391,21.304
2010,1,3,10.258,20.326,16.457,19.109,13.217,22.193,15.521,20.075,11.529,16.132,11.156,16.484,16.76,15.434,24.005,19.531,17.027,16.442,18.088,15.023,11.637,17.819,9.093,18.598,20.442,18.318,18.756,23.044,24.904,14.867,11.132,15.195,13.225,14.496,24.286
2010,1,4,13.228,18.222,11.956,19.529,15.929,21.825,14.344,17.901,11.994,17.406,13.189,18.262,20.433,16.113,26.493,21.936,16.966,17.977,19.882,19.733,19.171,16.005,16.348,21.01,19.668,16.918,20.663,16.196,24.545,16.759,11.017,15.146,9.961,15.484,24.039
2010,1,5,16.449,18.667,6.751,20.775,16.163,19.51,16.322,18.43,12.325,19.149,18.461,19.092,16.557,18.063,25.154,20.608,16.549,18.298,21.03,21.702,20.45,10.866,26.358,26.135,20.927,15.557,19.748,17.256,26.808,17.137,10.769,15.799,10.417,18.356,18.54
2010,1,6,15.983,21.688,6.498,20.685,13.969,16.819,16.887,17.601,13.785,19.54,18.877,19.246,18.338,15.98,22.022,21.593,14.815,18.843,21.042,23.099,19.32,16.547,19.092,24.34,19.321,14.348,16.385,10.607,22.102,19.987,9.117,15.313,15.429,22.162,9.518
2010,1,7,19.401,17.314,11.03,9.326,13.977,13.499,15.284,18.496,20.591,17.35,19.347,21.467,16.852,15.307,25.107,18.811,15.22,19.306,22.554,23.275,13.034,15.319,12.846,21.976,19.28,17.463,14.717,13.749,23.433,19.812,12.623,19.129,15.636,21.642,7.527
2010,1,8,17.167,18.678,15.155,12.873,14.992,19.758,16.92,18.557,22.729,13.599,20.099,18.626,19.596,16.917,27.353,17.744,16.07,21.337,22.08,21.903,11.705,21.008,13.04,23.977,22.414,18.229,15.418,16.675,22.401,20.486,12.292,19.66,15.68,21.376,15.548
2010,1,9,12.77,18.223,14.871,14.461,16.727,21.086,19.94,16.979,20.4,13.212,15.127,16.12,21.0,15.889,26.318,19.0,16.337,22.267,19.802,24.115,11.367,19.701,8.043,20.8,20.271,17.737,18.345,13.882,25.308,16.633,15.749,18.065,13.219,23.076,19.06
2010,1,10,6.163,18.931,15.373,17.183,16.402,25.691,21.216,15.605,20.247,13.289,15.335,16.004,22.063,15.625,27.205,23.101,22.318,19.706,20.518,23.112,12.863,18.59,11.96,17.837,19.712,13.269,17.798,15.987,18.646,18.899,18.131,21.541,15.845,23.58,25.917
