Year,Month,Day,csiro-mk3-6-0.1.rcp45,csiro-mk3-6-0.2.rcp45,csiro-mk3-6-0.3.rcp45,csiro-mk3-6-0.4.rcp45,csiro-mk3-6-0.5.rcp45,csiro-mk3-6-0.6.rcp45,csiro-mk3-6-0.7.rcp45,csiro-mk3-6-0.8.rcp45,csiro-mk3-6-0.9.rcp45,csiro-mk3-6-0.10.rcp45,csiro-mk3-6-0.1.rcp85,csiro-mk3-6-0.2.rcp85,csiro-mk3-6-0.3.rcp85,csiro-mk3-6-0.4.rcp85,csiro-mk3-6-0.5.rcp85,csiro-mk3-6-0.6.rcp85,csiro-mk3-6-0.7.rcp85,csiro-mk3-6-0.8.rcp85,csiro-mk3-6-0.9.rcp85,csiro-mk3-6-0.10.rcp85,gfdl-cm3.1.rcp85,gfdl-esm2g.1.rcp45,gfdl-esm2g.1.rcp85,gfdl-esm2m.1.rcp45,gfdl-esm2m.1.rcp85,miroc-esm.1.rcp45,miroc-esm.1.rcp85,miroc-esm-chem.1.rcp45,miroc-esm-chem.1.rcp85,miroc5.1.rcp45,miroc5.2.rcp45,miroc5.3.rcp45,miroc5.1.rcp85,miroc5.2.rcp85,miroc5.3.rcp85
2010,1,1,0.91,4.569,1.639,-3.089,1.049,4.587,2.871,3.244,-3.131,3.451,9.134,0.803,2.806,3.033,3.637,5.196,5.793,-2.29,1.363,4.503,7.446,5.756,9.663,3.124,2.673,0.74,0.685,3.259,7.512,-0.017,3.206,-0.632,4.188,1.45,4.464
2010,1,2,1.444,3.087,0.982,0.237,5.237,5.076,2.185,2.484,-1.595,2.639,0.085,3.775,3.884,2.247,2.514,-0.159,3.121,-0.035,2.749,-1.273,2.973,3.821,-0.789,-3.961,3.698,-0.399,0.905,3.383,0.293,-1.228,8.363,-4.197,5.033,0.258,1.795
2010,1,3,2.014,2.181,-0.499,4.69,2.675,3.479,1.382,1.576,-3.907,3.806,-3.398,1.852,0.012,0.786,6.219,4.761,-0.842,-0.905,2.708,-1.841,0.114,2.444,0.076,-0.147,4.301,3.441,1.158,7.43,2.502,1.455,2.177,-3.529,-0.143,4.962,1.191
2010,1,4,-0.374,-0.729,-0.912,4.041,0.929,0.66,-2.698,-0.549,-2.812,3.145,-3.889,-1.656,2.801,1.038,3.727,5.909,-1.912,-0.305,0.318,-2.14,1.475,-1.897,-5.763,2.153,3.048,1.258,3.665,3.076,0.896,0.042,-1.634,-1.064,-4.044,-0.468,3.878
2010,1,5,-2.497,1.099,-6.756,6.864,2.271,2.174,-3.08,0.983,0.887,4.389,1.705,2.554,1.755,2.128,4.636,2.463,-0.623,-0.653,3.633,1.154,3.333,-1.832,4.498,7.1,1.859,0.443,3.18,1.77,6.084,-0.481,-1.581,-0.008,-4.698,0.704,3.945
2010,1,6,-4.293,1.365,-6.161,10.308,2.163,3.736,2.54,3.404,-2.665,4.77,2.282,3.08,-0.5,1.87,1.173,3.443,-1.577,1.855,2.969,2.368,3.872,0.235,6.864,3.532,5.293,-0.88,3.286,0.451,8.347,2.695,-2.549,-3.034,-1.689,4.718,0.754
2010,1,7,-1.585,-0.596,-1.7,3.518,-0.888,2.112,0.352,3.884,1.277,0.927,4.201,2.061,3.403,1.59,2.116,4.501,-3.666,2.242,4.079,4.896,0.396,4.661,-1.071,4.174,8.675,-0.622,0.174,-1.247,10.738,4.184,-4.819,0.335,-0.968,5.615,-3.651
2010,1,8,3.887,2.495,-1.964,1.635,0.82,-0.933,-0.541,5.027,3.619,2.254,3.44,6.485,2.003,1.623,1.287,1.492,0.109,3.965,2.166,4.032,-2.543,2.163,-5.401,2.324,7.598,2.782,0.806,2.116,8.337,6.097,-0.809,2.241,-0.066,1.579,-2.904
2010,1,9,2.912,1.21,0.169,-2.183,0.173,-1.193,1.397,3.518,4.075,-1.59,2.432,2.828,1.706,3.666,3.832,0.404,4.378,6.691,1.921,1.755,-2.289,5.93,-5.594,5.875,2.17,0.577,0.845,0.573,7.024,1.889,-0.461,2.812,0.101,3.235,4.608
2010,1,10,-3.611,2.761,2.734,-1.042,1.689,5.069,1.138,2.236,3.232,-2.026,-1.974,1.616,1.897,0.923,6.083,1.314,2.131,7.08,2.775,2.46,-0.339,3.245,-5.691,0.674,3.394,-2.995,2.544,-1.322,3.586,2.534,-1.341,3.525,0.732,3.783,6.084
