Year,Month,Day,csiro-mk3-6-0.1.rcp45,csiro-mk3-6-0.2.rcp45,csiro-mk3-6-0.3.rcp45,csiro-mk3-6-0.4.rcp45,csiro-mk3-6-0.5.rcp45,csiro-mk3-6-0.6.rcp45,csiro-mk3-6-0.7.rcp45,csiro-mk3-6-0.8.rcp45,csiro-mk3-6-0.9.rcp45,csiro-mk3-6-0.10.rcp45,csiro-mk3-6-0.1.rcp85,csiro-mk3-6-0.2.rcp85,csiro-mk3-6-0.3.rcp85,csiro-mk3-6-0.4.rcp85,csiro-mk3-6-0.5.rcp85,csiro-mk3-6-0.6.rcp85,csiro-mk3-6-0.7.rcp85,csiro-mk3-6-0.8.rcp85,csiro-mk3-6-0.9.rcp85,csiro-mk3-6-0.10.rcp85,gfdl-cm3.1.rcp85,gfdl-esm2g.1.rcp45,gfdl-esm2g.1.rcp85,gfdl-esm2m.1.rcp45,gfdl-esm2m.1.rcp85,miroc-esm.1.rcp45,miroc-esm.1.rcp85,miroc-esm-chem.1.rcp45,miroc-esm-chem.1.rcp85,miroc5.1.rcp45,miroc5.2.rcp45,miroc5.3.rcp45,miroc5.1.rcp85,miroc5.2.rcp85,miroc5.3.rcp85
2010,1,1,0.081,0.001,0.003,0.002,0.035,0.003,0.013,0.002,0.001,0.259,0.001,0.027,0.14,0.028,0.002,0.001,0.086,0.471,0.005,7.282,1.13,0.426,53.613,3.669,0.0,0.002,0.0,5.253,2.242,0.039,15.835,0.466,0.381,0.0,0.0
2010,1,2,5.838,0.002,0.003,0.044,0.049,0.001,0.054,0.013,0.001,0.636,0.005,0.003,0.164,0.01,0.002,0.008,0.02,0.036,0.006,0.904,0.323,0.245,8.57,0.032,0.0,0.077,0.607,6.412,0.027,0.16,7.656,0.093,17.959,0.001,0.0
2010,1,3,3.455,0.006,0.005,0.423,0.076,0.001,0.378,0.052,0.001,0.275,0.001,0.002,0.119,0.219,0.076,0.37,0.004,0.003,0.014,0.001,0.156,0.029,1.032,0.0,0.008,0.046,0.26,3.267,0.032,0.115,0.025,0.0,0.675,0.0,0.0
2010,1,4,0.212,0.008,0.006,9.07,0.022,0.016,0.002,0.106,0.001,0.044,0.002,0.002,0.002,0.331,0.015,0.117,0.017,0.002,0.028,0.002,0.005,0.013,0.0,0.0,0.001,0.009,0.012,0.225,0.062,0.011,0.003,0.0,0.0,0.0,0.0
2010,1,5,0.022,0.001,0.002,16.438,0.48,0.083,0.002,0.05,0.001,0.016,0.001,0.004,1.301,0.089,0.001,0.037,0.041,0.016,0.1,0.03,0.0,0.0,0.327,0.0,0.0,0.0,0.835,11.367,0.024,0.016,1.083,0.0,0.0,0.0,0.007
2010,1,6,0.019,0.001,0.001,5.096,3.291,0.885,0.001,0.179,0.006,0.056,0.019,0.047,0.974,0.021,0.02,0.004,0.034,0.001,0.006,0.002,2.208,0.0,8.203,0.0,0.017,0.0,0.615,0.452,0.071,6.105,0.313,0.0,0.0,0.001,0.197
2010,1,7,0.086,0.011,0.001,3.954,0.712,0.036,0.001,0.133,0.004,0.061,0.001,0.148,0.106,0.004,0.012,0.001,0.127,0.009,0.005,0.004,2.405,0.0,2.366,0.0,1.608,0.0,0.208,3.741,1.758,12.213,0.0,0.0,0.0,0.0,0.001
2010,1,8,2.13,0.012,0.001,1.161,0.087,0.097,0.002,11.06,0.164,0.064,0.001,0.957,0.021,0.025,0.002,0.001,0.178,0.102,0.031,0.024,0.688,0.0,0.01,0.0,12.105,0.0,0.182,6.978,2.689,10.727,0.005,0.001,0.0,0.001,0.0
2010,1,9,0.595,0.027,0.002,0.002,0.069,0.046,0.001,1.452,0.02,2.18,0.001,2.96,0.276,0.147,0.001,0.001,0.009,3.153,0.047,0.003,0.217,0.0,0.0,0.0,1.434,0.008,0.011,0.002,0.002,0.353,0.0,0.0,0.012,0.001,0.0
2010,1,10,1.254,0.001,0.132,0.003,0.059,0.006,0.001,0.057,0.062,0.668,0.001,0.208,0.159,0.142,0.001,0.001,0.001,1.363,1.531,0.005,0.009,0.048,0.0,0.147,9.288,0.0,1.543,0.005,0.023,5.24,0.0,0.002,1.514,0.0,0.0
