Year,Month,Day,csiro-mk3-6-0.1.rcp45,csiro-mk3-6-0.2.rcp45,csiro-mk3-6-0.3.rcp45,csiro-mk3-6-0.4.rcp45,csiro-mk3-6-0.5.rcp45,csiro-mk3-6-0.6.rcp45,csiro-mk3-6-0.7.rcp45,csiro-mk3-6-0.8.rcp45,csiro-mk3-6-0.9.rcp45,csiro-mk3-6-0.10.rcp45,csiro-mk3-6-0.1.rcp85,csiro-mk3-6-0.2.rcp85,csiro-mk3-6-0.3.rcp85,csiro-mk3-6-0.4.rcp85,csiro-mk3-6-0.5.rcp85,csiro-mk3-6-0.6.rcp85,csiro-mk3-6-0.7.rcp85,csiro-mk3-6-0.8.rcp85,csiro-mk3-6-0.9.rcp85,csiro-mk3-6-0.10.rcp85,gfdl-cm3.1.rcp85,gfdl-esm2g.1.rcp45,gfdl-esm2g.1.rcp85,gfdl-esm2m.1.rcp45,gfdl-esm2m.1.rcp85,miroc-esm.1.rcp45,miroc-esm.1.rcp85,miroc-esm-chem.1.rcp45,miroc-esm-chem.1.rcp85,miroc5.1.rcp45,miroc5.2.rcp45,miroc5.3.rcp45,miroc5.1.rcp85,miroc5.2.rcp85,miroc5.3.rcp85
2010,1,1,11.089,16.015,11.572,9.819,10.065,18.439,12.903,12.324,8.855,8.395,16.378,8.993,12.133,9.965,18.058,12.563,16.982,9.692,14.359,6.382,12.905,9.509,9.758,9.25,9.0,10.765,10.983,16.083,13.069,12.595,10.492,6.271,16.813,13.222,16.499
2010,1,2,10.003,15.631,11.543,12.377,8.161,16.87,11.495,11.804,6.99,7.43,11.591,9.079,9.794,8.684,16.827,15.101,15.758,9.526,14.691,5.386,10.196,11.449,6.34,3.767,11.22,9.965,11.276,15.624,14.305,13.778,11.072,7.574,14.062,14.302,16.899
2010,1,3,6.256,13.639,9.676,13.952,8.537,15.863,8.611,12.671,6.999,7.626,5.84,8.742,11.402,8.143,15.956,15.352,15.088,13.286,15.551,9.274,6.787,10.826,0.221,9.073,13.024,12.292,11.49,15.755,15.745,14.089,8.565,9.621,7.521,13.112,17.022
2010,1,4,8.264,11.49,7.42,9.998,9.353,14.589,11.313,11.221,5.027,9.379,8.237,11.042,14.34,7.067,17.118,16.067,15.397,15.579,16.397,10.373,7.31,8.612,10.172,14.072,13.286,11.655,12.085,14.005,18.263,14.049,8.732,9.353,6.802,13.496,15.685
2010,1,5,9.24,9.755,5.476,11.15,7.804,12.917,11.028,12.484,5.044,13.228,10.473,12.099,11.726,9.178,16.202,16.43,13.219,14.014,15.809,11.823,11.136,5.768,12.415,15.527,14.351,9.413,13.16,11.911,19.778,14.534,7.947,11.205,8.771,14.894,12.887
2010,1,6,9.942,12.628,3.778,11.072,6.442,10.598,12.214,12.634,11.946,12.162,14.944,12.79,10.021,9.714,16.674,15.549,11.399,14.862,15.87,13.529,10.601,5.675,11.315,14.224,14.105,10.177,11.12,5.289,18.116,12.989,8.806,13.076,11.981,15.98,9.333
2010,1,7,9.977,11.625,6.991,6.561,8.533,12.917,10.66,11.389,15.972,11.154,18.032,12.411,12.076,10.914,18.717,11.74,11.253,15.138,14.751,13.132,6.867,6.37,6.482,13.009,13.308,11.682,11.124,6.883,19.159,10.831,8.806,15.038,12.85,16.806,5.967
2010,1,8,9.278,11.667,8.395,5.288,9.536,14.256,11.456,9.94,14.548,7.564,16.911,10.422,11.519,9.601,17.904,13.224,10.662,13.813,13.746,12.83,4.405,8.474,2.148,12.148,11.648,12.223,11.578,9.541,16.763,10.87,8.711,16.494,13.661,16.492,9.737
2010,1,9,6.734,11.299,7.965,9.878,9.313,14.233,14.162,8.26,11.889,6.272,15.2,5.71,10.903,6.628,18.083,13.374,11.974,10.746,13.647,14.371,5.616,8.132,1.729,11.171,11.033,12.458,12.053,8.171,17.784,13.039,11.549,14.751,12.964,15.979,13.029
2010,1,10,2.5,13.583,7.254,13.497,9.061,17.411,14.299,12.121,13.42,7.62,11.177,6.466,10.408,7.545,21.103,11.957,14.227,10.251,12.163,15.532,5.655,7.713,3.574,11.014,8.996,9.926,9.994,10.639,15.381,12.495,11.185,15.531,11.74,15.551,15.993
