Year,Month,Day,csiro-mk3-6-0.1.rcp45,csiro-mk3-6-0.2.rcp45,csiro-mk3-6-0.3.rcp45,csiro-mk3-6-0.4.rcp45,csiro-mk3-6-0.5.rcp45,csiro-mk3-6-0.6.rcp45,csiro-mk3-6-0.7.rcp45,csiro-mk3-6-0.8.rcp45,csiro-mk3-6-0.9.rcp45,csiro-mk3-6-0.10.rcp45,csiro-mk3-6-0.1.rcp85,csiro-mk3-6-0.2.rcp85,csiro-mk3-6-0.3.rcp85,csiro-mk3-6-0.4.rcp85,csiro-mk3-6-0.5.rcp85,csiro-mk3-6-0.6.rcp85,csiro-mk3-6-0.7.rcp85,csiro-mk3-6-0.8.rcp85,csiro-mk3-6-0.9.rcp85,csiro-mk3-6-0.10.rcp85,gfdl-cm3.1.rcp85,gfdl-esm2g.1.rcp45,gfdl-esm2g.1.rcp85,gfdl-esm2m.1.rcp45,gfdl-esm2m.1.rcp85,miroc-esm.1.rcp45,miroc-esm.1.rcp85,miroc-esm-chem.1.rcp45,miroc-esm-chem.1.rcp85,miroc5.1.rcp45,miroc5.2.rcp45,miroc5.3.rcp45,miroc5.1.rcp85,miroc5.2.rcp85,miroc5.3.rcp85
2010,1,1,-4.114,-1.393,0.795,-2.677,-0.615,0.969,-1.253,0.548,-5.257,2.601,3.337,-3.079,0.447,-1.017,-0.968,-0.543,3.039,1.721,-0.945,-0.567,8.736,5.507,6.599,2.23,2.37,0.074,-0.85,8.049,9.552,3.331,6.18,1.071,4.669,1.325,2.433
2010,1,2,2.589,-1.235,-1.197,-1.831,-0.864,0.374,2.082,-0.379,-6.346,3.956,-2.528,-0.803,1.465,-1.963,-0.13,-2.314,1.813,-1.283,-1.234,-1.179,3.539,4.517,-1.624,-2.169,3.546,0.05,1.196,10.994,3.545,3.971,6.903,-0.416,7.665,1.287,3.415
2010,1,3,2.197,-1.549,-2.708,0.389,-2.032,-1.111,0.379,-1.196,-6.35,3.771,-6.24,-1.37,-0.874,-1.579,0.701,-0.137,-0.82,-1.434,0.497,-1.143,-0.074,-0.229,-3.029,-1.2,3.459,0.696,1.67,9.969,5.175,4.079,2.043,-0.862,1.583,0.725,2.509
2010,1,4,-1.59,-1.704,-3.329,5.766,-1.852,0.893,-1.11,-0.792,-6.309,-1.059,-5.312,-1.628,-0.634,0.873,0.578,4.773,0.98,-0.863,0.849,-1.865,-0.306,-0.168,-1.653,1.96,2.561,1.959,1.172,5.7,7.716,2.461,-1.011,0.19,-1.807,0.579,3.46
2010,1,5,-2.021,-3.39,-4.245,8.27,-2.053,-1.363,-1.616,-0.807,-6.082,-1.244,-2.248,-1.129,2.361,-1.486,1.946,-0.723,-0.671,-0.096,0.239,0.066,0.419,-2.942,5.862,3.809,3.218,0.175,4.347,5.792,9.358,1.627,0.395,0.384,-1.042,0.611,-0.083
2010,1,6,-1.82,-2.284,-2.422,6.025,2.228,4.595,-1.939,5.356,-4.277,0.69,-0.611,-0.911,2.574,-2.474,-0.605,-0.564,-1.657,-0.833,-0.293,0.569,4.151,-2.923,6.7,3.638,5.853,-0.44,5.041,-0.746,9.394,6.644,-0.643,0.31,-0.45,1.721,1.68
2010,1,7,-1.279,-2.615,-5.386,0.213,0.134,-0.434,-1.485,-0.164,-0.429,-0.192,0.684,0.298,-0.065,-2.01,1.155,-2.46,-0.312,-0.41,-1.009,0.365,-1.028,-2.55,-2.011,2.418,8.8,-0.874,1.974,0.23,9.562,6.544,-0.13,1.947,2.253,1.824,-2.062
2010,1,8,2.974,-1.642,-2.386,-3.985,-1.237,1.782,-3.198,2.642,0.505,1.854,-0.267,4.353,-0.726,-1.025,3.26,-0.941,1.556,1.677,-1.226,0.264,-0.513,-1.788,-1.88,2.604,8.159,1.624,2.871,4.527,9.505,7.219,0.442,3.68,0.806,2.45,-1.525
2010,1,9,-1.378,-0.977,-2.414,-1.809,-1.343,3.267,-1.542,1.708,0.256,-0.511,-1.958,-0.797,-0.549,0.334,0.644,-0.825,-2.416,2.159,0.417,0.146,-4.458,-0.647,-3.727,4.031,3.345,1.879,0.019,-0.244,6.29,3.127,-0.488,2.908,2.235,1.351,1.139
2010,1,10,-5.059,-2.183,-0.704,-0.699,-2.299,-0.678,-0.853,-0.692,0.732,-2.223,-0.567,-1.033,1.554,-1.326,0.671,-2.0,-0.597,4.291,3.312,0.07,-4.596,-0.612,-3.007,3.173,5.334,-0.383,2.527,-0.771,4.965,5.984,0.343,2.124,3.417,1.586,1.202
