Year,Month,csiro-mk3-6-0.1.rcp26,csiro-mk3-6-0.1.rcp45,csiro-mk3-6-0.1.rcp60,csiro-mk3-6-0.1.rcp85,gfdl-cm3.1.rcp26,gfdl-cm3.1.rcp45,gfdl-cm3.1.rcp60,gfdl-cm3.1.rcp85,gfdl-esm2m.1.rcp26,gfdl-esm2m.1.rcp45,gfdl-esm2m.1.rcp60,gfdl-esm2m.1.rcp85,hadgem2-es.1.rcp26,hadgem2-es.1.rcp45,hadgem2-es.1.rcp60,hadgem2-es.1.rcp85,miroc-esm-chem.1.rcp26,miroc-esm-chem.1.rcp45,miroc-esm-chem.1.rcp60,miroc-esm-chem.1.rcp85,miroc5.1.rcp26,miroc5.1.rcp45,miroc5.1.rcp60,miroc5.1.rcp85
2010,1,0.258,0.131,0.121,0.532,0.748,0.027,1.138,0.185,0.044,0.884,0.003,2.158,0.746,0.131,0.976,2.55,0.002,0.795,0.603,0.383,0.017,1.385,1.94,0.542
2010,2,1.626,0.078,0.294,1.465,0.347,1.079,0.037,0.19,1.566,1.117,1.005,1.554,0.952,0.331,0.505,0.42,0.022,0.623,0.438,0.025,1.066,2.07,0.795,0.629
2010,3,0.088,0.565,0.098,0.062,0.428,0.7,0,0.492,0.781,0.257,0.403,2.584,0.707,0.099,0.059,1.075,0.112,0.259,2.121,0.835,0.423,1.137,0.598,0.065
2010,4,0.001,0.533,0.572,0.042,0,0.311,0,0.185,0.155,0.697,0,0.24,0.215,0,0.166,0.157,0.316,0.002,1.091,0.356,1.083,0.794,0.124,0.381
2010,5,0.025,0.33,0.078,0.026,0,0.001,0.501,0.003,0.028,0.472,0.004,0.514,0.002,0.003,0.079,0.17,1.094,0.013,0.006,0.07,0.023,0.219,0.142,0
2010,6,0.043,0.254,0.103,0.18,0.138,0.018,0.156,0.108,0.129,0.299,0.044,0.064,0.008,0.011,0.341,0.384,0.204,0.302,0.213,0.049,0.439,0.58,0.547,0.314
2010,7,2.014,1.121,2.158,1.846,1.306,0.733,1.731,1.716,1.836,1.202,1.547,6.374,0.986,1.554,1.926,1.262,2.77,2.461,1.784,2.619,1.645,1.591,3,2.201
2010,8,1.185,1.476,1.795,3.214,2.359,0.503,1.074,0.526,1.902,0.951,1.75,1.888,0.815,1.05,2.215,0.771,2.141,1.714,2.771,1.222,1.707,2.303,3.028,0.898
2010,9,3.574,1.994,1.089,1.847,2.146,0.473,0.656,0.847,0.316,0.337,0.467,1.106,1.368,0.534,2.796,1.182,0.346,0.47,1.208,1.423,0.166,1.309,1.253,0.181
2010,10,0.051,0.343,1.921,0.51,0.68,2.281,4.109,3.469,1.145,0.169,0.264,0.384,0.063,0.111,0.226,1.847,1.542,0.097,1.566,0.476,0.522,2.701,1.717,1.067
2010,11,0.682,0.111,0.837,0.343,0.522,0.732,0.636,0.297,0.993,0.123,0.319,0.163,0.045,0.044,0.982,1.264,0.191,0.214,0.81,0.989,0.263,0.32,0.376,0.447
2010,12,1.019,0.634,0.047,0.009,0.206,1.585,0.427,0.381,0.191,0.337,0.031,0.045,0.647,1.271,1.813,0.27,0.245,0.277,2.329,0.098,0.317,0.92,0.302,0.079
2011,1,0.075,0.683,1.105,0.019,1.085,0.393,0.002,0.058,0.522,0.138,0.139,1.193,0.129,0.653,0.467,1.263,0.135,0.083,0.756,0.69,0.427,1.013,1.128,0.3
2011,2,0.252,0.133,0.149,1.453,2.211,0.698,0.184,0.422,1.259,0.269,0.623,0.264,0.425,1.274,0.441,0.934,1.065,0.022,1.559,1.325,1.547,1.582,0.281,1.595
2011,3,0.235,0.062,0.448,0.581,1.373,0.616,0.651,0.412,0.471,1.315,1.479,0.745,0.061,0.158,1.621,1.902,0.861,0.247,1.446,0.464,1.956,0.445,1.117,0.419
2011,4,0.457,0.43,0.011,0.002,0.046,0.005,1.317,0.003,0.084,0.189,1.53,0.078,0,0.003,0,0.268,1.115,0.121,0.337,0.19,0.127,0.271,0.091,0.177
2011,5,0.301,0.054,0.251,0.016,0.532,0,0.096,0.044,0.349,0.502,0.032,0.026,0.015,0.016,0.151,0.126,0.039,0,0.133,0.206,0.201,0.125,0.03,0.063
