Year,Month,csiro-mk3-6-0.1.rcp26,csiro-mk3-6-0.1.rcp45,csiro-mk3-6-0.1.rcp60,csiro-mk3-6-0.1.rcp85,gfdl-cm3.1.rcp26,gfdl-cm3.1.rcp45,gfdl-cm3.1.rcp60,gfdl-cm3.1.rcp85,gfdl-esm2m.1.rcp26,gfdl-esm2m.1.rcp45,gfdl-esm2m.1.rcp60,gfdl-esm2m.1.rcp85,hadgem2-es.1.rcp26,hadgem2-es.1.rcp45,hadgem2-es.1.rcp60,hadgem2-es.1.rcp85,miroc-esm-chem.1.rcp26,miroc-esm-chem.1.rcp45,miroc-esm-chem.1.rcp60,miroc-esm-chem.1.rcp85,miroc5.1.rcp26,miroc5.1.rcp45,miroc5.1.rcp60,miroc5.1.rcp85
2010,1,20.774,17.556,19.015,19.414,20.247,20.213,19.569,14.667,19.522,19.27,20.374,17.301,18.123,19.001,18.973,18.355,19.703,18.016,18.475,20.322,20.796,18.02,18.375,18.511
2010,2,20.86,23.198,22.811,20.026,21.887,20.908,25.76,19.081,23.752,22.696,21.278,16.7,21.071,20.07,22.825,21.002,24.918,22.445,18.184,23.742,22.77,18,20.743,20.916
2010,3,24.974,28.592,26.908,25.293,24.781,21.898,28.82,23.088,20.892,23.56,26.095,20.054,22.184,26.392,27.939,22.181,26.366,22.197,21.702,26.312,20.551,21.768,21.622,25.781
2010,4,28.118,27.035,26.979,30.603,30.206,29.209,30.845,29.96,27.345,27.36,30.232,27.34,28.976,32.313,29.657,25.909,28.948,29.272,25.02,30.584,25.136,28.573,27.485,28.039
2010,5,32.703,32.285,32.334,35.264,32.981,34.067,33.712,33.397,32.025,31.906,36.053,31.836,33.031,33.607,34.772,32.118,32.2,34.66,34.255,37.083,31.244,33.799,35.837,34.298
2010,6,37.218,38.958,38.111,37.525,39.395,39.155,39.248,39.562,38.035,38.894,40.073,36.417,39.732,38.668,39.179,36.937,36.511,38.541,37.393,38.236,39.97,35.631,38.841,38.366
2010,7,38.922,39.212,38.876,39.647,39.89,39.961,40.074,39.583,38.083,37.952,39.149,35.05,37.708,37.473,38.045,39.442,37.005,37.407,39.271,38.424,39.47,37.272,36.71,38.322
2010,8,38.16,39.39,36.736,33.649,37.175,40.238,38.56,40.631,38.01,38.791,36.513,34.906,39.851,39.072,37.958,38.538,36.128,37.046,37.438,38.374,37.701,36.04,34.943,39.032
2010,9,33.991,34.041,35.562,34.329,34.089,37.195,37.856,40.087,36.148,36.633,35.644,32.931,37.223,37.237,33.06,34.66,34.801,36.203,38.225,35.85,37.303,34.068,32.977,39.166
2010,10,31.4,30.044,28.056,32.708,28.868,30.488,26.459,29.485,31.546,30.423,32.502,29.862,32.849,28.296,31.737,30.391,30.847,37.415,32.517,31.421,31.96,29.405,28.854,32.987
