Year,Month,csiro-mk3-6-0.1.rcp45,csiro-mk3-6-0.2.rcp45,csiro-mk3-6-0.3.rcp45,csiro-mk3-6-0.4.rcp45,csiro-mk3-6-0.5.rcp45,csiro-mk3-6-0.6.rcp45,csiro-mk3-6-0.7.rcp45,csiro-mk3-6-0.8.rcp45,csiro-mk3-6-0.9.rcp45,csiro-mk3-6-0.10.rcp45,csiro-mk3-6-0.1.rcp85,csiro-mk3-6-0.2.rcp85,csiro-mk3-6-0.3.rcp85,csiro-mk3-6-0.4.rcp85,csiro-mk3-6-0.5.rcp85,csiro-mk3-6-0.6.rcp85,csiro-mk3-6-0.7.rcp85,csiro-mk3-6-0.8.rcp85,csiro-mk3-6-0.9.rcp85,csiro-mk3-6-0.10.rcp85,gfdl-cm3.1.rcp45,gfdl-cm3.1.rcp85,gfdl-esm2g.1.rcp45,gfdl-esm2g.1.rcp85,gfdl-esm2m.1.rcp45,gfdl-esm2m.1.rcp85,hadgem2-ao.1.rcp45,hadgem2-ao.1.rcp85,hadgem2-cc.1.rcp45,hadgem2-cc.1.rcp85,hadgem2-es.1.rcp45,hadgem2-es.2.rcp45,hadgem2-es.3.rcp45,hadgem2-es.4.rcp45,hadgem2-es.1.rcp85,hadgem2-es.2.rcp85,hadgem2-es.3.rcp85,hadgem2-es.4.rcp85,miroc-esm.1.rcp45,miroc-esm.1.rcp85,miroc-esm-chem.1.rcp45,miroc-esm-chem.1.rcp85,miroc5.1.rcp45,miroc5.1.rcp85
2010,1,0.238,0.016,2.622,1.571,0.548,1.139,0.362,0.855,0.705,0.837,0.621,0.317,1.244,0,0.771,0.159,0.101,0.345,0.582,0.801,0.018,0.303,0.051,1.661,1.082,2.943,1.139,0.866,0,1.49,0.231,1.732,0.242,2.064,2.145,0.014,2.188,0.327,1.138,0.198,0.921,0.442,1.895,0.686
2010,2,0.046,0.489,1.81,0.124,0.405,0.215,0.115,0.023,0,1.359,1.843,0.48,1.351,1.207,1.357,0.527,0.67,0.61,0.751,4.119,1.357,0.178,0.129,0.083,1.359,1.946,0.952,1.959,1.396,0.389,0.399,1.71,1.811,1.778,0.58,0.024,0.946,1.358,0.679,0,0.708,0.021,2.572,0.722
2010,3,0.61,0.321,0.366,0.684,0,0.18,0.3,1.005,1.704,0.4,0.014,0.315,1.919,0.879,2.652,0.196,0.859,0.834,1.558,0.196,0.873,0.732,4.045,0.654,0.299,3.012,0.049,0.912,2.736,0.238,0.05,0.762,0.727,0.999,1.949,1.909,0.292,0.367,0.662,0,0.429,1.251,1.689,0.034
2010,4,0.694,0.073,0.142,1.864,0.144,0,0.234,0.255,0.246,0.245,0.03,0.14,0.239,0.096,0.326,0.129,0.393,0.112,0.035,0,0.346,0.24,0.327,0.203,0.93,0.325,0.327,0.387,1.156,0.083,0,0.055,0.376,0.312,0.266,0.42,0,0.354,0.095,0.009,0.003,0.455,0.941,0.497
2010,5,0.68,0.029,0,0.104,0.547,0.066,0,0.078,0.024,0.222,0.025,0,0.48,0.013,0.015,0.035,0.026,0.013,0.022,0,0,0.001,0.01,0.169,0.703,0.713,0.068,0.028,0.621,0.452,0,0.013,0.106,0,0.262,0.027,0.591,0.003,0.015,0.006,0.012,0.065,0.384,0
2010,6,0.451,0.007,1.059,0.253,0.476,0.247,0,1.644,0.318,0.072,0.183,0.462,0.112,3.259,0.035,0.224,0.193,0.238,0.317,0.215,0.011,0.073,0.293,0.289,0.313,0.036,0.29,0.297,1.009,0.056,0.009,0.22,0.355,0.001,0.569,0.879,0.374,0.108,0.287,0.364,0.355,0.011,1.015,0.365
2010,7,0.861,1.756,1.203,2.02,2.05,1.654,1.633,3.368,1.956,1.803,2.053,2.403,4.275,1.986,2.557,4.037,1.957,2.341,3.326,4.048,0.557,1.965,2.053,2.135,0.944,8.152,2.49,1.88,1.79,0.813,1.751,3.962,0.955,3.333,1.205,4.064,3.013,2.029,4.357,2.084,2.793,3.298,1.813,2.611
2010,8,1.786,1.871,1.955,2.644,2.75,1.462,2.677,2.76,2.691,2.642,3.625,1.684,1.853,2.644,2.73,0.59,1.688,1.871,2.921,2.01,0.519,0.519,2.193,0.875,1.096,2.229,2.832,3.669,0.519,2.83,0.899,2.765,2.868,1.954,0.602,3.309,2.81,0.714,1.756,1.807,1.981,1.46,2.738,0.876
2010,9,2.172,2.161,0.846,1.658,2.224,1.937,1.934,1.574,0.706,1.179,2.277,0.531,1.701,1.845,1.707,1.936,0.239,1.399,0.77,1.188,0.561,0.886,0.06,1.914,0.163,1.181,1.42,1.659,0.148,1.416,0.5,1.658,1.162,1.58,1.402,1.659,0.543,0.016,0.62,0.126,0.605,1.648,1.587,0.086
2010,10,0.393,0,0.382,0.191,0.518,0.106,1.324,0.431,1.732,0.871,0.505,0,0.844,0.107,1.075,1.07,1.719,0.244,0.219,0.268,2.498,4.16,0.052,0.828,0.191,0.446,1.781,1.027,0.046,0.237,0.119,0.083,1.671,0.572,2.324,0.466,1.302,1.287,1.853,1.362,0.164,0.485,3.508,0.936
2010,11,0.066,0.003,1.182,1.083,0.826,0.199,0.864,0.509,0.155,0.627,0.31,0,0.047,0.031,1.286,0.043,1.094,1.481,0.626,0.013,0.893,0.303,2.015,0.075,0.149,0.207,0.283,0.607,0.829,1.005,0.035,0.482,1.344,0.238,1.595,0.047,0.083,0.23,0.427,1.18,0.286,1.124,0.428,0.632
2010,12,0.569,0.019,0.959,1.824,1.558,1.067,0.54,1.424,0.011,0.508,0.005,2.037,0.806,1.447,0.506,0.506,2.412,1.627,0.012,0.275,1.948,0.484,1.827,0.499,0.457,0.054,2.401,0.041,1.104,0.096,1.647,0.171,2.54,2.095,0.385,0.004,0.033,4.003,0.003,1.232,0.39,0.155,1.068,0.096
2011,1,0.781,1.059,1.493,1.283,0.796,0.797,0.132,0.235,1.37,0.365,0.01,0.806,1.432,0,1.151,1.287,1.365,0.847,1.286,0.532,0.436,0.018,2.639,0.929,0.197,1.485,0.366,0.726,1.16,0.251,0.847,1.854,0.756,0.361,1.67,1.893,1.155,2.142,1.092,0.284,0.122,0.869,1.253,0.365
2011,2,0.116,0.948,1.826,0.48,0.528,0.253,1.418,1.361,1.939,0.788,1.893,0,0.378,1.044,1.206,0.073,0.764,0.778,0.775,0.046,0.62,0.545,0.124,1.943,0.308,0.307,0.265,0.052,2.017,2.301,1.872,0.166,1.36,2.015,1.167,1.675,3.411,0.003,0,0.69,0.017,1.78,1.795,1.837
2011,3,0.035,0,0.935,0.275,0.441,0.948,0.19,0.858,1.597,0,0.662,0,0.399,0.067,1.494,1.535,0.019,0.947,0.856,0,0.804,0.636,0,0.075,1.966,0.983,0.18,1.924,1.328,1.973,0.113,0.195,1.374,0.169,2.236,2.021,2.243,0.407,0,0.735,0.342,0.665,0.551,0.581
2011,4,0.627,0.144,0.073,0.725,0.04,1.358,0.27,0,0.034,0.095,0.002,0.004,0.334,0,1.121,0.616,0.226,0.951,1.959,0.028,0.004,0.002,0.327,0.144,0.269,0.076,0.39,1.357,0.239,0.245,0.004,0.246,0.135,0.247,0.36,0.92,0.189,0,0.27,0.752,0.135,0.237,0.327,0.266
2011,5,0.055,0.415,0.016,0.097,0.101,0.778,0.023,0.002,0.011,0.544,0.027,0.564,0.23,0.069,0.169,0.007,0,0.023,0,0.014,0,0.042,0.696,0.013,0.583,0.028,0.014,0.015,0.169,0.013,0.028,0.027,0.229,0,0.163,0.067,0.055,0.388,0.013,0.013,0,0.255,0.104,0.056
2011,6,0.673,0.311,0.215,0.192,0.218,0.283,0.017,0.032,2.304,0.178,0.416,0.248,0.252,0.056,0.328,0.252,0.008,0.193,0.227,0.115,0.193,0.257,0.31,0.173,0.034,0.011,0.215,0.295,0.249,0,0.633,0.116,0.059,0.222,0.337,0.558,0.116,1.874,0.215,0.486,0.38,0.354,0.272,0.669
2011,7,2.137,2.35,2.025,2.229,0.912,1.386,0.773,3.394,1.96,1.798,2.217,2.78,1.989,2.345,0.828,2.915,0.585,3.389,4.047,1.758,2.571,0.908,1.885,0.927,2.153,2.695,4.023,2.106,2.046,2.967,1.966,0.557,0.565,1.817,2.428,0.917,2.336,1.984,1.988,0.912,1.953,1.79,2.057,1.944
2011,8,2.849,1.75,2.314,0.52,2.85,2.793,2.028,2.096,2.966,2.635,1.409,2.95,2.837,2.101,1.92,3.035,3.108,2.138,2.089,2.022,0.519,0.623,2.194,2.756,2.048,2.66,3.868,2.126,0.52,3.738,2.645,1.514,0.74,2.76,2.599,1.954,1.909,2.936,1.954,1.89,1.953,3.229,2.903,2.615
2011,9,3.315,0.71,1.692,0.402,1.302,0.155,1.654,1.112,1.265,0.426,4.657,0.585,1.751,0.845,3.316,0.486,0.862,1.572,0.602,1.658,1.033,1.885,1.802,1.581,0.537,1.836,2.229,1.108,1.658,0.288,1.934,5.513,1.136,2.037,1.187,2.218,3.724,1.989,0.062,0.89,1.434,0.626,1.399,2.733
2011,10,0.771,0.386,0.157,0.291,0.567,0.106,1.708,0,1.723,0.191,3.392,1.872,0.774,0.101,2.375,0.605,1.276,1.452,0.462,0,0.041,2.055,0.605,0.191,0.466,1.073,2.375,1.876,0.435,0.268,0.466,0.993,1.343,1.074,0.466,0.466,1.399,0,3.121,1.676,0.804,1.831,0.396,0.373
2011,11,0.068,0.625,1.639,0.203,0.07,0.82,0.403,0.826,0.68,0.082,1.046,0.75,0.48,1.287,1.072,1.29,0.034,0.635,0.452,0.9,0.892,0.453,0.405,0.011,1.227,0,1.942,1.061,1.945,0.895,0.403,1.096,0.307,0.582,0.408,0.659,0.871,0.431,1.298,1.194,0.037,0,0.622,1.737
2011,12,1.031,1.629,1.967,4.585,0.2,0.535,2.39,0.502,0.41,0.17,0.013,1.835,0.77,0.537,3.69,0.337,1.88,1.755,1.272,1.022,3.164,1.78,0.554,0.061,0.399,1.881,5.008,0.096,0.082,0.502,0.701,0.002,0.097,0.486,1.16,2.088,0.281,0.693,1.146,0.005,1.878,0.511,0.096,2.06
2012,1,0.282,1.495,0.709,1.283,1.706,1.432,1.499,2.237,0.443,1.455,1.847,1.94,0.287,0.302,0.3,1.662,1.622,1.686,0.252,0.019,1.277,2.261,0.324,0.851,2.312,0.208,0.286,0.773,1.811,0.222,1.591,1.768,0.508,1.496,0.145,0.05,0.602,3.719,1.276,0.211,0.003,0.361,0.164,1.219
2012,2,1.951,2.169,1.66,0.024,0.663,0.356,0.308,1.9,0.021,0.667,2.303,0.548,0,0.566,1.266,0.762,0.678,0.578,0.391,0.776,3.541,0.671,0.188,0.151,0.307,1.664,0.997,2.018,0.103,1.556,0,1.292,1.142,1.504,0.708,0.766,1.152,1.971,1.246,1.042,1.359,0.052,0.307,0.06
2012,3,2.165,0.859,0.625,0.795,0.019,1.372,0.857,1.527,2.148,0.006,2.499,1.95,0.008,0,1.283,0.4,0,0.192,2.363,0.735,0.008,0.726,1.265,0,0.3,0.734,0.194,1.514,0,0.023,0.047,0.726,0,0.005,0.742,0.194,0.815,0.197,1.522,1.336,1.556,0.801,2.25,2.587
2012,4,0.693,0.248,0.34,0.004,0.062,0,0.325,0.291,0.089,0.096,0.095,0.005,0.075,0.122,0.625,0.346,0.187,0.034,1.35,0.346,0.12,0.316,0.283,0.265,0.268,0,0.264,0.327,0,0.045,0.089,1.341,0.202,0.715,0,0.613,0.095,0.497,0.264,0.715,0,0.286,0.083,1.912
2012,5,0.106,0.083,0.039,0,0.102,0.691,0.651,0.135,0.527,0.013,0.002,0.044,0.067,0,0.065,0.324,0.002,0.709,0.514,0,0.251,0.406,0.009,0,0,0.028,0.018,0.105,0.067,0,0.563,0.293,0.055,0,0.011,0.013,0.703,0.414,0.391,0.67,0.03,0,0.395,0.055
2012,6,0,0.249,0.71,0.026,0,0.288,2.25,0.022,0.193,0.724,0.162,0.117,0.218,0.354,0.243,0.06,0.008,0.769,0.762,0.083,0.289,0.154,0.184,0.002,0.282,1.255,0.104,0,0.194,0.638,0.103,0.115,0.421,0.092,0.2,0.217,0.01,1.546,1.747,0.966,0,0.382,0.585,0.213
2012,7,1.756,2.855,2.009,4.151,1.732,1.642,1.756,3.382,3.128,3.33,0.899,2.83,1.81,1.987,1.956,0.85,1.957,4.626,2.893,0.582,2.149,1.703,2.143,2.365,3.262,5.318,1.944,0.559,0.782,2.472,2.615,2.053,1.801,1.994,2.016,2.45,0.76,2.114,2.78,2.434,1.123,3.324,1.828,1.957
2012,8,1.925,0.997,1.69,2.75,0.519,2.273,0.869,2.133,3.215,2.585,2.883,1.954,2.225,2.755,0.52,1.271,2.141,1.534,2.682,0.519,3.595,2.206,1.815,2.959,1.759,2.036,1.744,0.668,1.14,2.298,2.598,1.688,0.52,3.417,2.009,1.617,2.791,2.71,2.036,2.047,1.686,3.22,2.032,2.654
2012,9,0,0.07,0.497,0.114,1.572,0.148,0.138,1.489,1.676,0.59,0.333,0.063,1.757,0.235,1.625,0.059,0.139,1.935,0.566,0.544,0.96,1.177,2.547,0.696,3.027,1.405,1.805,1.363,2.167,1.658,0.175,2.217,0.833,2.609,1.572,1.659,0.008,0.501,0.304,1.589,0.017,1.406,0.563,1.179
2012,10,2.431,0,0.484,0.408,0.189,0.31,0.372,0.223,0.44,1.837,1.77,0.466,0.087,0,0.38,1.346,0.416,2.884,0.39,0.929,0.774,0.804,0.173,0.872,1.076,1.198,0.184,0.188,0,0.098,0.464,0.736,0,2.014,0.378,0.284,0.178,1.291,0.281,3.568,1.076,0.515,0.04,0
