Year,Month,csiro-mk3-6-0.1.rcp45,csiro-mk3-6-0.2.rcp45,csiro-mk3-6-0.3.rcp45,csiro-mk3-6-0.4.rcp45,csiro-mk3-6-0.5.rcp45,csiro-mk3-6-0.6.rcp45,csiro-mk3-6-0.7.rcp45,csiro-mk3-6-0.8.rcp45,csiro-mk3-6-0.9.rcp45,csiro-mk3-6-0.10.rcp45,csiro-mk3-6-0.1.rcp85,csiro-mk3-6-0.2.rcp85,csiro-mk3-6-0.3.rcp85,csiro-mk3-6-0.4.rcp85,csiro-mk3-6-0.5.rcp85,csiro-mk3-6-0.6.rcp85,csiro-mk3-6-0.7.rcp85,csiro-mk3-6-0.8.rcp85,csiro-mk3-6-0.9.rcp85,csiro-mk3-6-0.10.rcp85,gfdl-cm3.1.rcp45,gfdl-cm3.1.rcp85,gfdl-esm2g.1.rcp45,gfdl-esm2g.1.rcp85,gfdl-esm2m.1.rcp45,gfdl-esm2m.1.rcp85,hadgem2-ao.1.rcp45,hadgem2-ao.1.rcp85,hadgem2-cc.1.rcp45,hadgem2-cc.1.rcp85,hadgem2-es.1.rcp45,hadgem2-es.2.rcp45,hadgem2-es.3.rcp45,hadgem2-es.4.rcp45,hadgem2-es.1.rcp85,hadgem2-es.2.rcp85,hadgem2-es.3.rcp85,hadgem2-es.4.rcp85,miroc-esm.1.rcp45,miroc-esm.1.rcp85,miroc-esm-chem.1.rcp45,miroc-esm-chem.1.rcp85,miroc5.1.rcp45,miroc5.1.rcp85
2010,1,5.164,7.995,7.306,7.949,7.637,7.513,7.808,7.006,6.28,7.089,6.964,7.8,7.517,6.695,9.15,9.79,8.05,8.876,9.727,9.122,7.33,4.196,8.077,7.886,8.352,6.552,6.881,8.535,7.029,7.179,6.623,8.964,9.615,8.413,7.7,9.307,6.972,6.245,6.916,7.358,7.328,8.91,7.984,7.447
2010,2,10.402,8.759,10.356,9.448,8.344,10.704,11.047,10.192,8.677,9.407,8.166,12.233,8.719,7.201,7.89,9.091,6.989,11.255,8.741,10.002,9.735,5.155,11.893,8.28,11.515,6.518,8.474,8.898,8.635,11.786,8.408,7.3,7.092,8.512,9.813,13.242,11.125,10.382,5.839,12.029,10.891,11.723,7.324,8.581
2010,3,16.831,10.27,11.51,13.326,16.628,14.236,12.993,13.1,10.866,9.312,12.571,12.47,10.57,9.696,9.91,10.63,11.191,13.526,12.065,10.527,9.983,11.42,10.234,11.365,12.249,9.831,15.792,13.203,10.917,11.316,13.888,11.513,12.115,10.038,10.891,12.41,12.852,10.429,8.801,15.83,10.988,14.197,10.924,13.004
2010,4,15.075,17.902,15.918,13.938,17.919,18.237,18.116,14.647,14.235,13.372,18.45,17.664,14.235,12.138,14.931,17.35,15.275,17.859,17.45,16.215,17.349,18.043,14.991,15.709,15.42,15.307,20.365,14.859,13.199,15.255,19.656,15.786,17.05,13.911,13.201,14.94,18.75,16.727,14.066,17.569,17.495,18.689,16.992,16.491
2010,5,19.889,20.451,21.416,21.289,18.882,20.482,22.089,19.073,22.786,18.849,23.171,21.284,20.03,19.684,20.574,20.699,23.302,21.285,23.021,18.312,20.935,20.973,19.646,20.329,19.451,19.318,23.421,20.634,19.555,20.963,21.048,20.949,20.758,22.355,19.8,21.51,22.085,21.308,19.008,20.788,23.534,24.552,21.501,21.436
2010,6,27.103,25.39,26.395,25.708,26.526,25.183,24.929,25.105,26.216,24.393,25.472,24.515,27.498,24.667,23.803,25.234,25.52,27.312,26.211,23.839,26.492,27.429,24.861,25.414,26.742,23.57,28.769,26.715,24.968,25.538,26.036,28.991,26.979,24.4,24.172,23.918,26.505,26.105,24.076,25.377,26.258,25.778,23.64,25.941
2010,7,28.51,27.957,28.17,27.795,28.165,28.3,29.134,28.908,27.972,28.2,29.121,27.983,26.523,27.163,29.019,27.878,29.46,28.025,26.14,26.323,28.678,29.04,27.851,27.032,27.59,25.507,27.964,29.295,27.424,28.915,27.607,27.12,28.201,26.084,28.65,26.863,26.881,28.38,26.462,28.295,27.208,28.012,26.65,28.279
2010,8,28.916,27.075,26.079,26.602,26.027,26.959,26.719,27.215,26.69,27.546,24.522,27.338,27.524,26.09,27.572,27.877,29.483,26.935,25.327,26.548,28.868,29.44,25.712,26.87,27.752,24.158,25.826,25.464,25.806,25.882,29.007,26.24,25.753,26.981,28.095,25.278,25.871,29.59,26.618,26.82,26.413,27.6,26.041,28.366
2010,9,23.342,23.74,24.851,23.731,24.962,24.667,25.443,22.84,23.847,24.892,23.601,24.104,25.534,21.8,24.077,24.824,25.011,24.766,24.827,24.985,25.311,28.768,27.823,24.009,25.044,21.331,23.546,22.151,25.082,23.912,25.479,25.09,25.187,24.791,23.89,24.743,24.614,25.821,24.638,22.73,25.037,24.303,22.933,27.492
2010,10,18.45,19.204,18.361,19.395,20.491,20.096,19.508,17.618,17.835,19.802,20.707,19.351,16.953,18.009,19.18,17.48,17.669,17.153,20.029,19.974,19.892,19.054,21.243,19.523,18.393,17.028,18.471,18.328,22.079,19.86,16.941,18.545,17.823,16.8,19.63,18.789,17.822,17.282,18.826,18.842,23.491,19.076,18.643,20.802
