Year,Month,csiro-mk3-6-0.1.rcp45,csiro-mk3-6-0.2.rcp45,csiro-mk3-6-0.3.rcp45,csiro-mk3-6-0.4.rcp45,csiro-mk3-6-0.5.rcp45,csiro-mk3-6-0.6.rcp45,csiro-mk3-6-0.7.rcp45,csiro-mk3-6-0.8.rcp45,csiro-mk3-6-0.9.rcp45,csiro-mk3-6-0.10.rcp45,csiro-mk3-6-0.1.rcp85,csiro-mk3-6-0.2.rcp85,csiro-mk3-6-0.3.rcp85,csiro-mk3-6-0.4.rcp85,csiro-mk3-6-0.5.rcp85,csiro-mk3-6-0.6.rcp85,csiro-mk3-6-0.7.rcp85,csiro-mk3-6-0.8.rcp85,csiro-mk3-6-0.9.rcp85,csiro-mk3-6-0.10.rcp85,gfdl-cm3.1.rcp45,gfdl-cm3.1.rcp85,gfdl-esm2g.1.rcp45,gfdl-esm2g.1.rcp85,gfdl-esm2m.1.rcp45,gfdl-esm2m.1.rcp85,hadgem2-ao.1.rcp45,hadgem2-ao.1.rcp85,hadgem2-cc.1.rcp45,hadgem2-cc.1.rcp85,hadgem2-es.1.rcp45,hadgem2-es.2.rcp45,hadgem2-es.3.rcp45,hadgem2-es.4.rcp45,hadgem2-es.1.rcp85,hadgem2-es.2.rcp85,hadgem2-es.3.rcp85,hadgem2-es.4.rcp85,miroc-esm.1.rcp45,miroc-esm.1.rcp85,miroc-esm-chem.1.rcp45,miroc-esm-chem.1.rcp85,miroc5.1.rcp45,miroc5.1.rcp85
2010,1,14.361,18.106,14.205,15.759,15.398,16.29,16.968,14.976,15.042,15.164,16.462,15.986,15.75,15.711,18.788,19.178,18.519,17.875,19.141,16.952,17.221,11.439,17.404,16.784,16.423,14.468,14.705,17.344,16.499,15.198,15.966,16.654,19.218,16.094,15.456,18.503,14.676,14.779,15.56,16.102,14.949,17.45,15.064,15.572
2010,2,20.634,18.062,17.121,18.215,17.393,20.358,19.93,19.634,18.887,16.822,16.953,20.54,16.93,16.011,16.281,19.87,16.736,19.754,17.19,16.366,18.603,16.3,21.157,17.267,20.417,13.426,16.872,17.188,18.012,21.456,17.324,16.849,15.639,17.557,18.117,21.447,20.002,18.666,13.774,22.711,19.915,20.659,15.133,18.264
2010,3,26.432,20.844,20.65,22.803,27.314,24.603,22.67,22.086,19.301,18.378,22.921,21.993,17.867,18.751,17.954,19.778,19.501,22.56,20.95,19.169,19.507,20.818,17.582,20.845,21.23,17.578,25.71,22.242,17.976,20.722,24.287,19.861,22.156,18.896,19.313,20.53,22.293,19.967,17.11,26.603,19.876,23.259,19.323,23.468
2010,4,24.658,27.482,25.605,22.689,26.899,27.956,28.212,24.388,23.838,23.35,28.391,27.054,24.404,22.166,24.515,26.896,24.902,27.625,27.821,26.814,26.798,27.607,24.616,26.456,24.71,25.015,29.534,23.645,22.362,25.548,30.366,25.395,26.502,24.481,22.94,24.718,29.033,27.006,23.766,27.707,27.168,28.405,26.143,25.782
2010,5,29.895,30.864,31.823,30.901,28.772,30.664,32.739,28.991,32.174,28.52,33.043,31.721,29.673,29.789,31.03,30.532,33.206,31.234,32.169,28.278,31.831,30.912,30.775,31.172,29.203,29.54,33.011,30.731,29.295,30.494,31.268,31.34,30.449,32.968,29.671,31.099,31.135,30.976,28.967,31.182,32.956,34.678,31.315,32.26
2010,6,36.635,35.627,35.638,34.706,37.128,35.28,35.352,34.158,36.27,34.983,35.461,33.649,37.17,34.523,34.548,36.01,35.553,37.694,35.84,34.639,36.93,37.301,35.267,35.801,36.661,33.957,36.984,36.228,35.105,35.74,36.208,38.175,36.587,35.105,34.606,33.334,36.289,36.389,34.513,35.475,36.349,35.9,33.014,36.011
2010,7,37.039,36.456,36.945,35.632,36.078,36.815,37.7,37.037,35.779,36.4,37.388,36.01,33.475,35.047,37.373,35.605,37.811,36.073,32.885,33.326,37.735,37.6,36.873,35.626,35.921,32.7,35.849,37.317,35.925,37.682,35.444,34.047,36.448,34.684,37.215,34.313,35.158,36.5,33.741,36.483,35.201,36.17,34.95,36.172
2010,8,37.229,34.567,33.789,34.209,33.74,34.531,33.854,35.063,34.974,35.422,31.081,35.656,35.251,33.24,35.756,36.618,37.15,34.745,32.594,34.22,37.583,37.945,33.795,35.295,36.408,31.877,32.924,33.081,34.965,33.676,36.756,33.928,33.09,34.816,36.144,32.509,33.496,38.05,34.33,34.35,34.699,35.911,33.616,36.547
2010,9,31.14,31.847,34.179,31.699,32.621,32.039,33.268,31.598,32.175,32.742,31.269,33.392,33.383,30.316,32.43,33.409,34.871,32.503,33.11,34.44,34.287,37.677,38.577,32.406,34.155,30.126,32.218,29.988,34.605,33.041,34.978,32.979,33.418,32.666,32.059,34.079,32.835,36.491,33.586,31.188,33.381,32.789,31.5,37.321
2010,10,27.46,28.852,27.659,28.673,29.351,29.99,28.256,25.974,25.77,28.902,29.77,29.47,23.522,29.22,29.37,26.358,25.692,26.019,32.065,29.92,27.911,26.975,32.98,28.622,28.11,26.935,26.654,27.25,31.607,29.143,25.423,27.81,26.359,25.645,27.312,27.025,26.122,25.918,28.337,27.511,35.09,28.861,26.578,31.077
