Year,Month,csiro-mk3-6-0.1.rcp45,csiro-mk3-6-0.2.rcp45,csiro-mk3-6-0.3.rcp45,csiro-mk3-6-0.4.rcp45,csiro-mk3-6-0.5.rcp45,csiro-mk3-6-0.6.rcp45,csiro-mk3-6-0.7.rcp45,csiro-mk3-6-0.8.rcp45,csiro-mk3-6-0.9.rcp45,csiro-mk3-6-0.10.rcp45,csiro-mk3-6-0.1.rcp85,csiro-mk3-6-0.2.rcp85,csiro-mk3-6-0.3.rcp85,csiro-mk3-6-0.4.rcp85,csiro-mk3-6-0.5.rcp85,csiro-mk3-6-0.6.rcp85,csiro-mk3-6-0.7.rcp85,csiro-mk3-6-0.8.rcp85,csiro-mk3-6-0.9.rcp85,csiro-mk3-6-0.10.rcp85,gfdl-cm3.1.rcp45,gfdl-cm3.1.rcp85,gfdl-esm2g.1.rcp45,gfdl-esm2g.1.rcp85,gfdl-esm2m.1.rcp45,gfdl-esm2m.1.rcp85,hadgem2-ao.1.rcp45,hadgem2-ao.1.rcp85,hadgem2-cc.1.rcp45,hadgem2-cc.1.rcp85,hadgem2-es.1.rcp45,hadgem2-es.2.rcp45,hadgem2-es.3.rcp45,hadgem2-es.4.rcp45,hadgem2-es.1.rcp85,hadgem2-es.2.rcp85,hadgem2-es.3.rcp85,hadgem2-es.4.rcp85,miroc-esm.1.rcp45,miroc-esm.1.rcp85,miroc-esm-chem.1.rcp45,miroc-esm-chem.1.rcp85,miroc5.1.rcp45,miroc5.1.rcp85
2010,1,-3.833,-2.254,-0.603,-0.038,-0.914,-2.25,-1.168,-1.447,-2.638,-1.2,-2.68,-1.028,-0.705,-2.458,0.064,-0.538,-1.916,-0.511,0.083,1.755,-2.075,-3.59,-1.191,-0.45,0.268,-0.925,-1.247,-0.449,-2.273,-0.684,-4.016,1.782,-0.177,0.81,0.928,0.836,-0.694,-2.976,-2.169,-0.752,-0.678,1.917,1.334,-1.591
2010,2,-2.196,-1.388,3.064,-0.012,-1.809,-0.645,4.327,-1.823,-2.936,1.563,-0.65,4.703,1.958,-2.761,-0.572,-1.793,-3.633,2.039,0.121,3.225,1.124,-3.387,2.142,-1.714,3.111,-2.771,0.472,1.737,0.028,1.672,-1.064,-1.263,-1.29,-2.563,2.023,3.074,1.533,0.977,-2.123,0.729,1.883,3.393,0.49,-0.491
2010,3,6.903,0.737,2.462,4.544,5.429,3.266,2.823,3.831,2.073,0.685,1.985,2.628,2.83,1.494,1.476,0.835,2.24,3.866,3.096,2.262,1.298,1.816,2.373,2.232,2.993,2.234,5.059,5.353,4.028,1.48,2.926,2.099,2.298,1.194,3.002,4.659,3.808,0.551,0.803,5.363,2.065,4.533,2.478,3.093
2010,4,5.217,7.276,6.661,5.604,8.53,7.951,8.148,4.793,2.495,3.554,8.77,7.496,5.062,1.685,5.41,7.34,5.7,7.841,7.41,6.319,7.237,8.493,4.723,5.855,6.368,5.53,10.873,6.083,5.233,5.153,7.785,5.567,8.387,3.464,4.583,5.309,8.572,6.364,4.212,7.501,6.878,8.503,7.888,6.18
2010,5,9.814,10.107,11.363,11.65,9.713,10.585,11.933,9.321,11.552,9.498,13.21,10.918,9.726,9.357,10.375,11.15,12.52,11.29,12.512,8.915,9.98,10.765,8.535,8.841,9.703,9.435,14.624,10.342,10.479,11.139,9.674,10.51,11.138,11.823,9.847,11.641,13.072,11.376,9.039,9.941,12.527,14.601,12.084,10.517
2010,6,17.324,15.072,17.015,16.403,17.919,15.163,14.556,15.645,15.844,14.724,16.13,15.407,16.977,18.427,13.403,14.51,15.317,17.154,16.491,13.587,14.93,16.949,14.588,14.989,16.983,13.189,19.194,16.693,15.897,15.319,14.471,19.106,16.479,13.238,15.064,14.925,15.922,15.733,12.216,15.035,15.911,15.638,15.082,15.6
2010,7,19.817,19.5,19.504,20.039,19.634,19.578,20.309,21.208,19.921,20.12,20.772,20.045,19.692,19.057,20.538,20.243,20.688,19.928,18.521,19.563,19.243,20.482,19.629,18.573,19.2,18.18,19.94,20.57,18.397,19.707,19.356,20.665,19.16,19.082,19.233,19.976,19.008,19.904,19.005,20.131,18.831,20.275,18.16,20.712
2010,8,20.13,19.029,18.546,18.97,19.218,18.973,19.747,19.368,18.55,20.016,18.73,18.683,20.049,18.63,19.53,19.398,21.198,18.786,17.583,19.468,19.152,20.958,18.136,17.684,19.768,15.702,19.045,18.978,14.745,18.384,20.421,19.375,19.773,19.43,19.025,17.257,18.622,19.235,18.974,18.693,17.97,18.968,18.159,19.841
2010,9,16.059,15.41,15.26,15.821,16.882,17.385,16.707,14.622,14.583,16.889,16.394,14.368,17.778,13.486,15.338,15.824,16.587,16.562,15.888,15.445,16.023,20.324,18.499,15.756,16.328,12.294,15.408,14.608,14.634,13.876,16.842,16.908,16.838,16.777,15.33,15.622,16.27,15.799,15.225,13.388,16.175,15.475,14.515,17.473
2010,10,9.851,9.152,9.44,9.877,10.978,10.046,10.988,8.472,9.965,10.531,12.282,8.238,8.641,7.886,8.555,8.433,9.349,7.717,9.938,9.698,12.285,10.718,11.121,10.691,8.651,8.389,10.986,9.477,11.438,10.826,7.37,9.314,9.05,6.752,11.842,9.728,9.377,8.433,9.763,9.918,12.406,9.225,10.144,11.516
