Year,Month,csiro-mk3-6-0.1.rcp45,csiro-mk3-6-0.2.rcp45,csiro-mk3-6-0.3.rcp45,csiro-mk3-6-0.4.rcp45,csiro-mk3-6-0.5.rcp45,csiro-mk3-6-0.6.rcp45,csiro-mk3-6-0.7.rcp45,csiro-mk3-6-0.8.rcp45,csiro-mk3-6-0.9.rcp45,csiro-mk3-6-0.10.rcp45,csiro-mk3-6-0.1.rcp85,csiro-mk3-6-0.2.rcp85,csiro-mk3-6-0.3.rcp85,csiro-mk3-6-0.4.rcp85,csiro-mk3-6-0.5.rcp85,csiro-mk3-6-0.6.rcp85,csiro-mk3-6-0.7.rcp85,csiro-mk3-6-0.8.rcp85,csiro-mk3-6-0.9.rcp85,csiro-mk3-6-0.10.rcp85,gfdl-cm3.1.rcp45,gfdl-cm3.1.rcp85,gfdl-esm2g.1.rcp45,gfdl-esm2g.1.rcp85,gfdl-esm2m.1.rcp45,gfdl-esm2m.1.rcp85,hadgem2-ao.1.rcp45,hadgem2-ao.1.rcp85,hadgem2-cc.1.rcp45,hadgem2-cc.1.rcp85,hadgem2-es.1.rcp45,hadgem2-es.2.rcp45,hadgem2-es.3.rcp45,hadgem2-es.4.rcp45,hadgem2-es.1.rcp85,hadgem2-es.2.rcp85,hadgem2-es.3.rcp85,hadgem2-es.4.rcp85,miroc-esm.1.rcp45,miroc-esm.1.rcp85,miroc-esm-chem.1.rcp45,miroc-esm-chem.1.rcp85,miroc5.1.rcp45,miroc5.1.rcp85
2010,1,0.131,0.012,2.415,1.412,0.443,0.834,0.347,0.746,0.568,0.777,0.532,0.231,0.893,0.002,0.559,0.117,0.082,0.442,0.515,0.666,0.027,0.185,0.083,1.318,0.884,2.158,0.751,0.723,0.002,1.074,0.131,1.253,0.2,1.474,2.55,0.034,1.591,0.239,0.811,0.099,0.795,0.383,1.385,0.542
2010,2,0.078,0.373,1.562,0.174,0.359,0.197,0.151,0.064,0.006,1.05,1.465,0.368,0.888,0.862,1.12,0.403,0.535,0.491,0.694,2.766,1.079,0.19,0.132,0.073,1.117,1.554,0.709,1.679,1.137,0.295,0.331,1.345,1.365,1.325,0.42,0.07,0.807,1.058,0.618,0.006,0.623,0.025,2.07,0.629
2010,3,0.565,0.269,0.253,0.49,0.001,0.142,0.235,0.771,1.171,0.251,0.062,0.265,1.187,0.617,1.942,0.197,0.561,0.706,1.118,0.173,0.7,0.492,3.136,0.486,0.257,2.584,0.101,0.691,2.123,0.172,0.099,0.503,0.55,0.964,1.075,1.38,0.182,0.236,0.494,0.001,0.259,0.835,1.137,0.065
2010,4,0.533,0.077,0.129,1.33,0.116,0.001,0.172,0.186,0.182,0.184,0.042,0.129,0.168,0.098,0.286,0.168,0.277,0.167,0.022,0.0,0.311,0.185,0.286,0.1,0.697,0.24,0.262,0.324,1.061,0.073,0.0,0.021,0.379,0.241,0.157,0.325,0.002,0.251,0.091,0.005,0.002,0.356,0.794,0.381
2010,5,0.33,0.036,0.033,0.106,0.354,0.075,0.0,0.072,0.02,0.144,0.026,0.002,0.315,0.011,0.011,0.057,0.011,0.012,0.021,0.001,0.001,0.003,0.012,0.143,0.472,0.514,0.09,0.015,0.394,0.225,0.003,0.014,0.098,0.001,0.17,0.039,0.412,0.003,0.013,0.004,0.013,0.07,0.219,0.0
2010,6,0.254,0.022,0.754,0.204,0.337,0.206,0.012,1.1,0.289,0.113,0.18,0.345,0.108,2.269,0.041,0.16,0.132,0.227,0.297,0.124,0.018,0.108,0.26,0.252,0.299,0.064,0.228,0.236,0.75,0.075,0.011,0.173,0.264,0.035,0.384,0.786,0.309,0.089,0.233,0.301,0.302,0.049,0.58,0.314
2010,7,1.121,1.536,1.367,1.859,1.846,1.481,1.427,2.719,1.611,1.533,1.846,2.1,3.352,1.738,2.209,3.022,1.547,1.986,2.873,2.891,0.733,1.716,1.8,1.966,1.202,6.374,2.276,1.678,1.511,1.099,1.554,2.895,1.034,2.729,1.262,3.654,2.573,1.78,3.896,1.905,2.461,2.619,1.591,2.201
2010,8,1.476,1.598,1.671,2.114,2.397,1.324,2.27,2.293,2.392,2.564,3.214,1.409,1.536,2.156,2.36,0.743,1.354,1.608,2.642,1.936,0.503,0.526,1.851,0.849,0.951,1.888,2.481,3.311,0.65,2.367,1.05,2.421,2.712,1.976,0.771,2.579,2.672,0.565,1.528,1.541,1.714,1.222,2.303,0.898
2010,9,1.994,1.899,0.795,1.344,1.872,1.746,1.72,1.491,0.745,1.038,1.847,0.641,1.385,1.501,1.527,1.722,0.467,1.333,0.817,1.013,0.473,0.847,0.135,1.654,0.337,1.106,1.285,1.417,0.24,1.1,0.534,1.408,1.132,1.208,1.182,1.608,0.625,0.06,0.667,0.261,0.47,1.423,1.309,0.181
2010,10,0.343,0.014,0.38,0.163,0.627,0.117,1.148,0.381,1.371,0.691,0.51,0.014,0.825,0.107,0.933,0.839,1.623,0.178,0.126,0.217,2.281,3.469,0.097,0.57,0.169,0.384,1.645,1.202,0.163,0.219,0.111,0.142,1.202,0.473,1.847,0.32,1.159,1.003,1.605,1.201,0.097,0.476,2.701,1.067
2010,11,0.111,0.005,0.938,0.783,0.581,0.291,0.618,0.377,0.232,0.461,0.343,0.0,0.042,0.015,1.106,0.069,0.941,1.302,0.427,0.016,0.732,0.297,1.832,0.105,0.123,0.163,0.194,0.436,0.731,1.034,0.044,0.431,1.16,0.296,1.264,0.055,0.132,0.187,0.371,1.196,0.214,0.989,0.32,0.447
2010,12,0.634,0.022,0.917,1.468,1.157,0.878,0.773,1.051,0.017,0.422,0.009,1.816,0.954,0.911,0.495,0.386,2.044,0.948,0.018,0.209,1.585,0.381,1.482,0.451,0.337,0.045,2.508,0.034,1.06,0.066,1.271,0.147,2.391,1.712,0.27,0.008,0.119,3.2,0.007,1.039,0.277,0.098,0.92,0.079
