Year,Month,csiro-mk3-6-0.1.rcp45,csiro-mk3-6-0.2.rcp45,csiro-mk3-6-0.3.rcp45,csiro-mk3-6-0.4.rcp45,csiro-mk3-6-0.5.rcp45,csiro-mk3-6-0.6.rcp45,csiro-mk3-6-0.7.rcp45,csiro-mk3-6-0.8.rcp45,csiro-mk3-6-0.9.rcp45,csiro-mk3-6-0.10.rcp45,csiro-mk3-6-0.1.rcp85,csiro-mk3-6-0.2.rcp85,csiro-mk3-6-0.3.rcp85,csiro-mk3-6-0.4.rcp85,csiro-mk3-6-0.5.rcp85,csiro-mk3-6-0.6.rcp85,csiro-mk3-6-0.7.rcp85,csiro-mk3-6-0.8.rcp85,csiro-mk3-6-0.9.rcp85,csiro-mk3-6-0.10.rcp85,gfdl-cm3.1.rcp45,gfdl-cm3.1.rcp85,gfdl-esm2g.1.rcp45,gfdl-esm2g.1.rcp85,gfdl-esm2m.1.rcp45,gfdl-esm2m.1.rcp85,hadgem2-ao.1.rcp45,hadgem2-ao.1.rcp85,hadgem2-cc.1.rcp45,hadgem2-cc.1.rcp85,hadgem2-es.1.rcp45,hadgem2-es.2.rcp45,hadgem2-es.3.rcp45,hadgem2-es.4.rcp45,hadgem2-es.1.rcp85,hadgem2-es.2.rcp85,hadgem2-es.3.rcp85,hadgem2-es.4.rcp85,miroc-esm.1.rcp45,miroc-esm.1.rcp85,miroc-esm-chem.1.rcp45,miroc-esm-chem.1.rcp85,miroc5.1.rcp45,miroc5.1.rcp85
2010,1,8.517,11.366,10.5,11.052,10.698,10.6,11.002,10.147,9.413,10.357,10.233,10.88,10.707,10.102,12.357,12.41,11.379,11.785,12.871,12.276,10.658,7.258,11.402,11.228,11.283,9.836,10.108,11.701,10.323,10.388,9.918,12.094,12.523,11.471,10.954,12.376,9.987,9.438,10.045,10.572,10.414,12.057,11.139,10.676
2010,2,13.178,11.841,13.31,12.279,11.515,13.568,14.121,13.402,11.718,12.098,11.335,15.472,11.845,10.517,11.158,12.299,9.714,14.258,11.755,12.722,12.574,8.356,14.941,11.492,14.439,9.609,11.642,11.975,11.909,14.739,11.642,10.52,10.491,11.618,12.94,15.981,14.126,13.243,9.02,14.979,13.766,14.761,10.529,11.857
2010,3,19.766,13.349,14.383,16.006,19.093,16.844,15.949,15.928,13.733,12.608,15.423,15.448,13.537,12.787,12.967,13.603,14.13,16.219,15.003,13.749,13.218,14.428,13.288,14.405,15.171,12.898,18.023,16.028,14.074,14.426,16.552,14.413,14.987,13.019,14.107,15.191,15.733,13.679,12.238,18.498,13.782,17.053,14.03,15.898
2010,4,17.96,20.465,19.134,17.226,20.533,20.6,20.855,17.706,17.048,16.479,21.144,20.542,17.62,15.477,18.017,19.921,18.378,20.619,19.948,19.17,20.062,20.824,17.687,19.046,18.622,18.139,22.757,17.671,16.732,18.135,22.125,18.92,20.016,16.999,16.61,18.028,21.417,19.698,17.074,20.084,20.072,21.418,19.764,19.103
2010,5,22.745,23.409,24.288,24.035,21.794,23.34,24.835,22.104,25.119,22.014,25.574,24.156,22.887,22.524,23.555,23.494,25.637,24.145,25.311,21.513,23.962,23.891,22.679,23.083,22.634,22.44,26.134,23.459,22.728,23.852,23.98,23.959,23.641,24.994,22.761,24.403,24.97,24.272,21.963,23.546,25.529,26.901,24.384,24.323
2010,6,29.668,28.234,29.273,28.656,29.072,27.983,27.739,28.235,29.192,27.578,28.469,27.663,30.123,28.189,26.855,28.343,28.298,29.933,29.219,26.795,29.242,30.079,27.85,28.347,29.494,26.719,31.236,29.362,28.135,28.5,29.012,31.528,29.926,27.394,27.091,27.06,29.318,29.048,26.805,28.012,28.915,28.726,26.879,28.938
2010,7,31.077,30.501,30.715,30.541,30.596,30.755,31.848,31.895,30.517,30.834,31.746,30.783,29.642,29.845,31.666,30.528,31.927,30.735,28.928,29.435,31.478,31.801,30.763,29.95,30.281,28.289,30.536,31.678,30.111,31.569,30.204,29.86,30.949,29.056,31.226,29.747,29.574,31.029,29.296,30.834,29.839,30.726,29.458,30.966
2010,8,31.358,29.901,29.094,29.706,29.063,29.712,29.752,30.2,29.361,30.184,27.751,29.915,30.48,29.14,30.187,30.576,31.949,29.822,28.265,29.805,31.992,32.412,28.969,29.802,30.701,27.524,28.841,28.532,28.738,28.987,31.703,29.336,28.68,29.789,30.849,28.247,28.8,32.321,29.6,29.579,29.3,30.519,28.894,31.247
2010,9,26.797,26.706,27.845,27.003,27.859,27.908,28.514,26.42,26.919,27.918,27.081,26.992,28.84,25.247,27.026,27.825,28.079,27.677,27.84,27.956,28.718,31.49,30.624,27.183,28.135,24.601,26.753,25.357,28.128,26.907,28.653,28.115,28.226,27.788,26.846,27.805,27.731,29.024,27.765,25.776,27.91,27.421,26.139,30.056
2010,10,21.72,22.396,21.284,22.593,23.394,23.036,22.792,20.831,20.947,23.022,23.787,22.058,20.388,21.157,22.035,20.768,20.935,20.041,22.902,23.01,22.944,21.924,24.45,22.553,21.298,20.369,21.554,21.162,24.857,22.939,20.228,21.752,20.908,20.064,23.039,22.062,21.013,20.513,21.907,21.771,26.209,22.067,21.576,23.674
2010,11,13.266,14.741,14.331,17.16,15.064,16.253,14.065,11.421,15.516,13.996,15.523,15.62,14.683,15.605,18.087,13.915,14.384,16.098,15.508,15.951,14.961,15.468,16.261,15.091,15.64,13.468,14.854,12.352,18.381,16.37,15.08,17.068,12.565,16.834,15.075,15.618,15.166,15.527,14.144,14.617,14.242,14.427,14.546,14.032
