Year,Month,csiro-mk3-6-0.1.rcp45,csiro-mk3-6-0.2.rcp45,csiro-mk3-6-0.3.rcp45,csiro-mk3-6-0.4.rcp45,csiro-mk3-6-0.5.rcp45,csiro-mk3-6-0.6.rcp45,csiro-mk3-6-0.7.rcp45,csiro-mk3-6-0.8.rcp45,csiro-mk3-6-0.9.rcp45,csiro-mk3-6-0.10.rcp45,csiro-mk3-6-0.1.rcp85,csiro-mk3-6-0.2.rcp85,csiro-mk3-6-0.3.rcp85,csiro-mk3-6-0.4.rcp85,csiro-mk3-6-0.5.rcp85,csiro-mk3-6-0.6.rcp85,csiro-mk3-6-0.7.rcp85,csiro-mk3-6-0.8.rcp85,csiro-mk3-6-0.9.rcp85,csiro-mk3-6-0.10.rcp85,gfdl-cm3.1.rcp45,gfdl-cm3.1.rcp85,gfdl-esm2g.1.rcp45,gfdl-esm2g.1.rcp85,gfdl-esm2m.1.rcp45,gfdl-esm2m.1.rcp85,hadgem2-ao.1.rcp45,hadgem2-ao.1.rcp85,hadgem2-cc.1.rcp45,hadgem2-cc.1.rcp85,hadgem2-es.1.rcp45,hadgem2-es.2.rcp45,hadgem2-es.3.rcp45,hadgem2-es.4.rcp45,hadgem2-es.1.rcp85,hadgem2-es.2.rcp85,hadgem2-es.3.rcp85,hadgem2-es.4.rcp85,miroc-esm.1.rcp45,miroc-esm.1.rcp85,miroc-esm-chem.1.rcp45,miroc-esm-chem.1.rcp85,miroc5.1.rcp45,miroc5.1.rcp85
2010,1,17.556,20.945,17.194,18.562,18.587,19.216,19.884,17.646,17.929,18.095,19.414,19.051,18.563,18.724,21.224,21.635,21.219,20.658,21.677,20.099,20.213,14.667,20.314,19.87,19.27,17.301,17.852,20.34,19.299,18.127,19.001,19.46,21.487,19.236,18.355,21.115,17.492,17.879,18.55,19.141,18.016,20.322,18.02,18.511
2010,2,23.198,20.658,19.916,20.614,20.333,22.973,22.552,22.331,21.39,19.615,20.026,23.09,20.068,19.095,19.266,22.313,19.603,22.519,19.97,19.362,20.908,19.081,23.912,20.261,22.696,16.7,19.782,19.977,20.525,24.112,20.07,19.917,18.567,20.422,21.002,23.875,22.467,21.32,16.805,24.984,22.445,23.742,18.0,20.916
2010,3,28.592,23.05,23.061,24.933,29.373,27.11,25.299,24.525,21.855,21.357,25.293,24.276,20.874,21.558,20.603,22.513,22.224,24.58,23.3,22.155,21.898,23.088,21.058,23.511,23.56,20.054,27.593,24.756,20.862,23.36,26.392,22.422,24.667,21.507,22.181,22.869,24.839,22.803,20.654,28.751,22.197,26.312,21.768,25.781
2010,4,27.035,29.834,28.093,25.732,29.274,30.146,30.539,27.053,26.388,25.979,30.603,29.472,27.122,25.016,27.058,29.132,27.513,29.831,29.97,29.268,29.209,29.96,26.938,29.325,27.36,27.34,31.645,26.111,25.608,28.054,32.313,28.127,28.853,27.029,25.909,27.447,31.25,29.196,26.335,29.876,29.272,30.584,28.573,28.039
2010,5,32.285,33.265,34.06,33.004,31.354,33.048,34.856,31.301,34.438,31.23,35.264,34.037,31.971,31.939,33.454,32.877,35.359,33.574,34.376,31.003,34.067,33.397,33.15,33.339,31.906,31.836,35.271,33.204,31.873,32.943,33.607,33.773,32.83,35.037,32.118,33.513,33.596,33.456,31.202,33.192,34.66,37.083,33.799,34.298
2010,6,38.958,37.904,38.16,37.399,39.231,37.653,37.574,36.905,38.793,37.431,37.525,36.245,39.47,37.088,36.904,38.46,37.892,39.818,38.446,37.068,39.155,39.562,37.761,38.331,38.894,36.417,39.174,38.631,37.083,38.153,38.668,40.204,39.018,37.487,36.937,35.941,38.617,38.703,36.864,37.446,38.541,38.236,35.631,38.366
2010,7,39.212,38.561,38.781,37.812,38.162,38.67,40.252,39.516,37.946,38.595,39.647,38.36,36.229,37.244,39.476,37.905,39.813,38.3,35.382,36.254,39.961,39.583,39.196,37.914,37.952,35.05,37.983,39.364,38.22,39.953,37.473,36.272,38.697,36.794,39.442,36.735,37.353,38.997,36.157,38.345,37.407,38.424,37.272,38.322
2010,8,39.39,37.221,36.178,36.76,36.093,37.094,36.467,37.643,37.371,37.344,33.649,37.865,37.767,35.951,38.082,38.694,39.772,37.19,35.131,36.822,40.238,40.631,36.612,37.961,38.791,34.906,35.655,35.445,37.582,36.166,39.072,36.365,35.569,37.279,38.538,35.235,35.932,40.325,37.0,36.877,37.046,38.374,36.04,39.032
2010,9,34.041,34.313,36.526,34.346,35.315,34.808,36.164,34.425,34.919,35.297,34.329,35.821,36.281,33.234,35.136,36.255,37.018,35.059,35.713,37.011,37.195,40.087,40.528,35.054,36.633,32.931,34.906,33.005,37.231,35.492,37.237,35.404,35.917,35.298,34.66,36.367,35.421,38.773,36.429,33.758,36.203,35.85,34.068,39.166
2010,10,30.044,31.677,30.224,31.607,31.722,32.58,30.945,28.679,28.571,31.577,32.708,32.055,26.901,31.776,31.697,29.5,28.435,28.883,34.12,32.574,30.488,29.485,35.288,31.01,30.423,29.862,29.379,29.678,34.108,31.748,28.296,30.421,29.09,28.495,30.391,30.202,28.947,28.755,30.821,29.867,37.415,31.421,29.405,32.987
