Year,Month,csiro-mk3-6-0.1.rcp45,csiro-mk3-6-0.2.rcp45,csiro-mk3-6-0.3.rcp45,csiro-mk3-6-0.4.rcp45,csiro-mk3-6-0.5.rcp45,csiro-mk3-6-0.6.rcp45,csiro-mk3-6-0.7.rcp45,csiro-mk3-6-0.8.rcp45,csiro-mk3-6-0.9.rcp45,csiro-mk3-6-0.10.rcp45,csiro-mk3-6-0.1.rcp85,csiro-mk3-6-0.2.rcp85,csiro-mk3-6-0.3.rcp85,csiro-mk3-6-0.4.rcp85,csiro-mk3-6-0.5.rcp85,csiro-mk3-6-0.6.rcp85,csiro-mk3-6-0.7.rcp85,csiro-mk3-6-0.8.rcp85,csiro-mk3-6-0.9.rcp85,csiro-mk3-6-0.10.rcp85,gfdl-cm3.1.rcp45,gfdl-cm3.1.rcp85,gfdl-esm2g.1.rcp45,gfdl-esm2g.1.rcp85,gfdl-esm2m.1.rcp45,gfdl-esm2m.1.rcp85,hadgem2-ao.1.rcp45,hadgem2-ao.1.rcp85,hadgem2-cc.1.rcp45,hadgem2-cc.1.rcp85,hadgem2-es.1.rcp45,hadgem2-es.2.rcp45,hadgem2-es.3.rcp45,hadgem2-es.4.rcp45,hadgem2-es.1.rcp85,hadgem2-es.2.rcp85,hadgem2-es.3.rcp85,hadgem2-es.4.rcp85,miroc-esm.1.rcp45,miroc-esm.1.rcp85,miroc-esm-chem.1.rcp45,miroc-esm-chem.1.rcp85,miroc5.1.rcp45,miroc5.1.rcp85
2010,1,-0.796,1.141,2.968,3.287,2.449,0.96,2.293,2.288,0.627,2.503,0.661,2.317,2.622,0.867,3.446,2.671,1.724,2.94,3.91,4.698,1.511,-0.64,2.511,3.118,3.577,2.675,2.094,3.068,1.082,2.584,-0.119,5.087,3.223,4.139,4.21,4.091,2.836,0.471,1.175,2.569,2.574,4.818,4.509,2.028
2010,2,1.224,2.049,6.563,3.515,1.343,2.497,6.962,2.462,0.578,4.725,3.308,7.782,4.75,0.859,3.105,1.848,-0.227,5.607,3.64,6.568,4.023,0.212,5.497,2.123,6.079,1.413,3.926,5.051,3.957,4.828,2.682,2.482,2.059,1.226,5.408,6.405,5.159,4.417,1.428,4.247,5.057,6.67,3.833,2.819
2010,3,10.183,4.332,5.77,7.901,8.572,6.467,6.19,7.03,5.561,4.188,5.552,6.091,6.088,4.673,4.892,4.227,5.367,7.168,6.47,5.696,4.961,5.309,5.711,5.664,6.232,5.587,8.186,8.328,7.378,5.095,6.379,5.649,5.581,4.766,6.319,7.961,7.143,4.239,4.281,8.195,5.271,7.765,5.893,6.368
2010,4,8.935,10.336,9.902,9.357,11.522,10.984,11.181,8.332,6.335,7.165,11.791,10.857,8.643,5.543,8.731,10.607,8.814,11.154,10.511,9.834,10.715,11.682,7.908,9.27,9.996,8.792,13.563,9.335,9.009,8.641,11.044,9.278,11.682,7.177,8.038,8.725,11.507,9.913,7.665,10.529,9.989,11.938,11.202,9.499
2010,5,13.234,13.652,14.66,15.082,12.996,13.865,15.215,12.671,14.947,13.05,16.04,14.365,13.345,12.815,13.596,14.221,15.57,14.621,15.504,12.418,13.611,14.11,12.21,12.389,13.642,13.077,17.53,13.66,14.149,14.534,13.344,14.204,14.424,15.11,13.446,15.187,16.452,15.058,12.372,13.165,15.278,17.158,15.496,13.972
2010,6,20.456,18.419,20.643,19.761,20.806,18.36,17.879,19.376,19.419,18.274,19.427,18.763,20.331,21.406,17.21,18.126,18.604,20.309,19.989,17.326,18.254,20.339,18.126,18.397,20.116,16.617,22.153,19.95,19.872,18.91,18.323,22.361,20.097,16.994,18.371,18.729,19.433,19.613,16.117,17.955,19.089,19.239,18.521,19.215
2010,7,22.845,22.516,22.96,23.225,22.711,22.652,23.336,24.57,23.033,23.19,23.88,23.252,23.153,22.411,23.702,23.295,23.63,23.094,22.037,22.864,22.59,23.748,23.048,22.031,22.446,21.443,23.077,23.564,21.77,22.762,22.947,23.755,22.518,22.248,22.522,23.267,22.39,22.697,22.216,23.024,22.076,23.501,21.373,23.875
2010,8,23.02,22.404,21.95,22.539,22.566,22.093,22.818,22.688,21.711,23.229,22.261,21.958,23.179,22.102,22.828,22.542,23.778,22.235,21.087,23.043,22.726,23.965,21.962,21.096,23.176,19.543,22.634,22.528,18.396,21.926,23.861,22.918,22.965,22.482,22.412,20.831,22.156,22.753,22.364,21.74,21.16,22.474,21.635,23.218
2010,9,19.682,18.752,19.042,19.384,20.267,20.839,20.219,18.645,18.229,20.4,20.045,18.076,21.528,17.295,19.167,19.347,20.044,19.961,19.179,19.061,19.822,23.365,22.097,19.556,19.831,16.013,19.034,18.407,18.427,17.798,20.483,20.689,20.553,20.303,18.796,19.062,19.898,19.288,19.045,16.851,19.428,19.162,18.248,20.902
2010,10,13.488,12.836,12.893,13.674,14.59,13.532,14.523,12.262,13.245,14.026,15.42,11.908,12.526,11.639,12.36,12.1,13.188,10.931,13.27,13.238,15.439,14.337,14.856,14.185,12.231,12.07,14.513,13.057,14.842,14.278,10.986,12.942,12.828,10.906,15.425,13.224,13.069,12.206,13.251,13.217,15.504,12.941,13.384,14.727
2010,11,4.498,6.025,5.927,8.382,6.412,7.462,5.534,3.046,7.054,5.815,6.694,5.709,5.502,5.956,9.599,4.322,6.637,7.694,6.989,6.419,7.281,7.647,8.138,6.498,7.185,4.997,6.344,4.441,8.623,7.875,5.566,8.125,4.883,7.319,8.941,6.42,6.268,5.649,6.133,7.137,4.439,6.796,6.38,5.426
2010,12,4.444,3.997,3.381,2.807,-0.95,4.084,3.624,3.433,2.035,0.003,2.142,4.033,6.442,2.555,2.006,0.671,3.86,3.591,2.423,1.676,2.776,3.051,5.246,4.041,2.932,1.382,6.508,3.227,1.712,1.298,3.871,3.659,2.568,3.672,2.333,3.412,2.547,4.651,2.299,3.899,1.855,1.419,3.953,2.456
2011,1,2.565,2.866,2.916,4.699,0.558,3.196,1.156,2.413,2.3,1.461,1.259,3.01,2.047,2.609,3.852,0.049,2.775,3.842,3.107,3.707,1.42,-0.359,4.46,2.346,1.258,2.134,2.252,2.662,1.894,1.153,4.216,5.495,2.714,2.163,2.402,3.114,2.027,1.653,4.28,0.503,2.458,3.128,3.938,2.731
2011,2,0.657,5.646,5.795,5.268,0.119,2.259,4.341,3.388,5.08,2.962,3.598,1.524,2.172,3.856,3.926,1.321,2.329,4.501,4.451,3.139,0.683,4.893,6.562,6.859,3.764,5.359,4.029,2.101,2.946,6.601,5.0,5.934,3.29,6.79,2.54,2.702,5.999,7.44,2.649,5.797,1.115,4.081,6.169,1.95
