Year,Month,csiro-mk3-6-0.1.rcp45,csiro-mk3-6-0.2.rcp45,csiro-mk3-6-0.3.rcp45,csiro-mk3-6-0.4.rcp45,csiro-mk3-6-0.5.rcp45,csiro-mk3-6-0.6.rcp45,csiro-mk3-6-0.7.rcp45,csiro-mk3-6-0.8.rcp45,csiro-mk3-6-0.9.rcp45,csiro-mk3-6-0.10.rcp45,csiro-mk3-6-0.1.rcp85,csiro-mk3-6-0.2.rcp85,csiro-mk3-6-0.3.rcp85,csiro-mk3-6-0.4.rcp85,csiro-mk3-6-0.5.rcp85,csiro-mk3-6-0.6.rcp85,csiro-mk3-6-0.7.rcp85,csiro-mk3-6-0.8.rcp85,csiro-mk3-6-0.9.rcp85,csiro-mk3-6-0.10.rcp85,gfdl-cm3.1.rcp45,gfdl-cm3.1.rcp85,gfdl-esm2g.1.rcp45,gfdl-esm2g.1.rcp85,gfdl-esm2m.1.rcp45,gfdl-esm2m.1.rcp85,hadgem2-ao.1.rcp45,hadgem2-ao.1.rcp85,hadgem2-cc.1.rcp45,hadgem2-cc.1.rcp85,hadgem2-es.1.rcp45,hadgem2-es.2.rcp45,hadgem2-es.3.rcp45,hadgem2-es.4.rcp45,hadgem2-es.1.rcp85,hadgem2-es.2.rcp85,hadgem2-es.3.rcp85,hadgem2-es.4.rcp85,miroc-esm.1.rcp45,miroc-esm.1.rcp85,miroc-esm-chem.1.rcp45,miroc-esm-chem.1.rcp85,miroc5.1.rcp45,miroc5.1.rcp85
2010,1,0.444,0.022,3.825,1.893,0.761,1.086,0.641,1.013,0.795,1.101,0.845,0.395,1.416,0.067,0.841,0.188,0.181,0.701,0.641,0.96,0.353,0.669,0.474,2.441,1.442,3.93,1.104,1.005,0.025,1.865,0.267,1.174,0.101,1.597,1.665,0.013,1.597,0.365,1.263,0.476,1.498,0.933,3.147,0.84
2010,2,0.414,0.71,3.213,0.347,0.64,0.417,0.233,0.273,0.102,2.054,2.469,0.685,1.907,1.608,1.608,1.071,1.234,1.115,1.546,5.329,3.088,0.911,0.567,0.443,1.924,2.886,0.844,1.759,1.587,0.552,0.379,1.52,1.297,1.305,0.582,0.117,0.638,1.102,1.315,0.026,1.246,0.187,4.389,1.179
2010,3,0.847,0.475,0.485,0.884,0.048,0.413,0.614,1.289,1.615,0.707,0.279,0.468,1.789,1.264,3.08,0.5,1.023,1.048,1.581,0.597,2.185,1.661,4.997,0.963,0.698,4.946,0.134,1.145,2.712,0.45,0.386,0.597,0.583,1.35,1.34,1.32,0.257,0.571,1.364,0.249,0.871,1.466,2.043,0.312
2010,4,0.685,0.162,0.262,1.905,0.205,0.025,0.236,0.299,0.322,0.295,0.087,0.233,0.31,0.223,0.422,0.31,0.518,0.189,0.13,0.01,1.272,1.016,0.754,0.491,2.071,0.944,0.529,0.673,1.94,0.233,0.005,0.117,0.569,0.46,0.675,0.824,0.032,0.588,0.756,0.438,0.474,1.485,1.422,0.96
2010,5,0.178,0.013,0.002,0.027,0.254,0.02,0.001,0.041,0.012,0.03,0.007,0.005,0.092,0.006,0.009,0.016,0.012,0.011,0.011,0.002,0.19,0.198,0.141,0.536,1.213,1.356,0.155,0.063,0.842,0.446,0.004,0.037,0.147,0.01,0.387,0.061,0.677,0.028,0.336,0.223,0.297,0.45,0.529,0.004
2010,6,0.185,0.004,0.718,0.056,0.262,0.044,0.001,0.985,0.136,0.011,0.042,0.222,0.014,2.997,0.005,0.03,0.048,0.096,0.135,0.047,0.074,0.198,0.747,0.677,0.671,0.009,0.29,0.32,0.623,0.03,0.003,0.111,0.181,0.003,0.272,1.012,0.215,0.068,0.432,0.536,0.561,0.05,1.413,0.664
2010,7,0.113,0.229,0.177,0.508,0.418,0.298,0.231,0.935,0.389,0.316,0.368,0.546,1.716,0.423,0.753,1.281,0.32,0.473,1.315,1.084,0.043,0.663,1.156,1.434,0.045,4.599,1.296,0.439,0.376,0.102,0.254,1.394,0.046,1.395,0.156,1.68,0.903,0.539,3.984,1.651,2.168,2.455,0.761,1.994
2010,8,0.57,0.705,0.7,1.235,1.451,0.504,1.204,1.555,1.337,1.228,2.809,0.519,0.669,1.219,1.258,0.19,0.46,0.663,1.808,0.843,0.792,0.84,3.851,1.242,0.28,1.419,2.923,3.665,0.206,2.156,0.619,1.796,2.047,1.304,0.264,2.578,1.877,0.157,1.061,1.102,1.411,0.835,2.664,0.613
2010,9,1.477,1.733,0.155,0.772,1.866,1.184,1.362,0.809,0.394,0.52,1.671,0.253,0.688,1.142,1.32,1.133,0.115,0.694,0.585,0.628,1.658,1.966,0.308,4.563,0.694,2.493,1.674,2.074,0.198,1.058,0.421,1.291,0.736,1.246,1.17,1.341,0.559,0.031,1.356,0.738,1.152,2.409,1.946,0.27
2010,10,0.096,0.001,0.029,0.05,0.112,0.021,0.497,0.131,0.853,0.284,0.154,0.001,0.101,0.025,0.409,0.4,0.581,0.036,0.047,0.051,4.235,5.57,0.656,2.719,0.85,1.343,1.685,1.133,0.1,0.301,0.093,0.065,0.891,0.557,2.318,0.488,0.731,1.118,2.34,1.965,0.92,1.397,3.455,1.67
