Year,Month,csiro-mk3-6-0.1.rcp45,csiro-mk3-6-0.2.rcp45,csiro-mk3-6-0.3.rcp45,csiro-mk3-6-0.4.rcp45,csiro-mk3-6-0.5.rcp45,csiro-mk3-6-0.6.rcp45,csiro-mk3-6-0.7.rcp45,csiro-mk3-6-0.8.rcp45,csiro-mk3-6-0.9.rcp45,csiro-mk3-6-0.10.rcp45,csiro-mk3-6-0.1.rcp85,csiro-mk3-6-0.2.rcp85,csiro-mk3-6-0.3.rcp85,csiro-mk3-6-0.4.rcp85,csiro-mk3-6-0.5.rcp85,csiro-mk3-6-0.6.rcp85,csiro-mk3-6-0.7.rcp85,csiro-mk3-6-0.8.rcp85,csiro-mk3-6-0.9.rcp85,csiro-mk3-6-0.10.rcp85,gfdl-cm3.1.rcp45,gfdl-cm3.1.rcp85,gfdl-esm2g.1.rcp45,gfdl-esm2g.1.rcp85,gfdl-esm2m.1.rcp45,gfdl-esm2m.1.rcp85,hadgem2-ao.1.rcp45,hadgem2-ao.1.rcp85,hadgem2-cc.1.rcp45,hadgem2-cc.1.rcp85,hadgem2-es.1.rcp45,hadgem2-es.2.rcp45,hadgem2-es.3.rcp45,hadgem2-es.4.rcp45,hadgem2-es.1.rcp85,hadgem2-es.2.rcp85,hadgem2-es.3.rcp85,hadgem2-es.4.rcp85,miroc-esm.1.rcp45,miroc-esm.1.rcp85,miroc-esm-chem.1.rcp45,miroc-esm-chem.1.rcp85,miroc5.1.rcp45,miroc5.1.rcp85
2010,1,2.018,4.901,4.188,4.683,4.354,4.515,4.947,3.794,3.214,4.159,3.976,4.612,4.829,3.343,6.179,6.511,5.244,5.678,6.839,5.865,5.475,1.513,4.73,4.529,5.759,4.083,3.726,6.068,4.025,3.963,3.655,6.079,7.16,6.052,5.201,7.372,3.837,2.79,5.841,6.637,6.197,7.968,7.921,6.702
2010,2,6.252,5.613,6.663,5.857,5.372,7.121,9.034,6.485,5.959,5.725,5.085,8.577,5.597,4.283,4.861,6.257,3.776,7.46,6.048,6.284,7.343,4.219,9.198,4.826,8.798,3.962,6.654,7.179,6.271,8.948,6.698,5.89,5.505,6.816,7.814,10.843,9.548,8.054,5.861,10.471,9.555,10.754,8.056,9.096
2010,3,13.248,7.387,8.373,10.621,13.277,10.709,9.643,9.17,8.172,6.662,9.019,9.03,7.436,7.344,6.988,7.561,8.078,9.612,9.251,8.075,8.052,8.79,7.293,8.895,10.325,7.474,14.58,12.278,9.244,9.41,12.599,10.349,11.342,9.143,10.317,11.881,12.204,9.756,9.144,14.431,10.197,12.47,11.094,13.1
2010,4,11.961,14.485,13.401,11.432,15.327,15.655,15.77,11.801,11.132,11.051,15.791,14.328,11.78,9.718,12.482,14.459,13.22,14.785,14.506,13.989,13.493,14.542,12.019,13.365,13.391,12.914,20.313,14.595,12.53,13.826,19.095,16.171,17.241,13.856,12.917,15.373,18.523,16.557,13.16,16.865,15.556,16.333,16.751,16.098
2010,5,19.011,19.589,20.429,20.643,18.351,19.812,21.056,18.568,21.62,18.459,21.3,20.783,18.819,19.02,19.984,19.755,21.715,20.497,21.826,17.952,18.834,18.78,18.247,18.478,18.757,17.993,23.606,21.293,18.904,20.346,21.495,21.945,21.586,23.301,20.19,22.402,23.039,21.783,17.661,19.326,21.082,22.266,22.805,22.701
2010,6,27.725,27.0,27.585,27.034,28.141,26.445,26.302,26.133,27.73,26.293,26.975,25.933,28.625,26.323,25.444,26.565,26.834,28.79,28.002,25.668,24.007,24.824,23.961,24.656,26.597,22.6,29.91,28.458,25.619,26.506,27.821,30.428,28.694,26.622,25.777,25.536,28.321,28.379,23.688,25.278,26.3,25.775,25.976,28.236
2010,7,31.422,31.051,30.843,30.405,30.637,30.884,32.168,31.666,30.463,31.088,32.308,30.864,29.272,29.784,31.657,30.624,32.017,30.401,28.558,29.542,28.575,29.226,28.564,27.299,29.783,24.902,29.612,31.029,28.02,30.325,29.554,29.191,31.186,28.503,30.81,28.873,29.786,30.645,27.338,30.552,27.831,30.045,28.289,30.399
2010,8,30.911,29.483,28.824,29.232,28.922,29.366,29.389,30.16,29.318,30.265,27.654,29.859,29.996,28.534,30.258,30.396,31.5,29.744,27.69,29.388,28.045,29.497,24.513,26.394,31.024,24.185,26.808,26.405,26.798,27.008,30.78,28.687,28.513,28.914,29.837,26.428,28.184,31.731,28.842,29.24,28.435,29.898,27.794,31.0
2010,9,24.173,24.003,25.209,24.346,25.128,25.175,25.51,23.187,24.366,25.545,24.427,24.558,26.181,22.391,24.333,25.176,25.988,24.805,25.502,25.648,22.581,26.643,25.658,20.627,24.908,19.161,24.292,22.565,25.916,24.276,27.657,26.399,26.789,26.015,24.971,26.62,26.104,27.673,24.331,22.646,24.91,24.269,23.688,29.085
2010,10,16.731,17.23,17.167,17.853,18.247,18.385,17.701,15.92,16.336,18.35,19.41,17.332,15.614,16.438,16.982,16.01,16.061,15.55,18.253,18.243,17.007,16.34,18.52,16.065,15.814,14.607,18.696,18.51,21.061,18.948,16.693,18.915,18.522,17.075,19.724,19.058,18.854,17.598,17.624,17.526,20.986,17.562,18.5,20.314
