Year,Month,csiro-mk3-6-0.1.rcp45,csiro-mk3-6-0.2.rcp45,csiro-mk3-6-0.3.rcp45,csiro-mk3-6-0.4.rcp45,csiro-mk3-6-0.5.rcp45,csiro-mk3-6-0.6.rcp45,csiro-mk3-6-0.7.rcp45,csiro-mk3-6-0.8.rcp45,csiro-mk3-6-0.9.rcp45,csiro-mk3-6-0.10.rcp45,csiro-mk3-6-0.1.rcp85,csiro-mk3-6-0.2.rcp85,csiro-mk3-6-0.3.rcp85,csiro-mk3-6-0.4.rcp85,csiro-mk3-6-0.5.rcp85,csiro-mk3-6-0.6.rcp85,csiro-mk3-6-0.7.rcp85,csiro-mk3-6-0.8.rcp85,csiro-mk3-6-0.9.rcp85,csiro-mk3-6-0.10.rcp85,gfdl-cm3.1.rcp45,gfdl-cm3.1.rcp85,gfdl-esm2g.1.rcp45,gfdl-esm2g.1.rcp85,gfdl-esm2m.1.rcp45,gfdl-esm2m.1.rcp85,hadgem2-ao.1.rcp45,hadgem2-ao.1.rcp85,hadgem2-cc.1.rcp45,hadgem2-cc.1.rcp85,hadgem2-es.1.rcp45,hadgem2-es.2.rcp45,hadgem2-es.3.rcp45,hadgem2-es.4.rcp45,hadgem2-es.1.rcp85,hadgem2-es.2.rcp85,hadgem2-es.3.rcp85,hadgem2-es.4.rcp85,miroc-esm.1.rcp45,miroc-esm.1.rcp85,miroc-esm-chem.1.rcp45,miroc-esm-chem.1.rcp85,miroc5.1.rcp45,miroc5.1.rcp85
2010,1,9.688,13.632,9.133,10.916,10.801,11.75,12.529,9.729,10.589,9.951,11.786,11.239,11.073,10.539,13.628,15.45,13.738,13.048,14.502,12.381,12.341,6.082,10.36,9.779,10.36,7.674,10.539,14.637,11.274,9.654,12.201,11.824,15.858,12.611,11.409,15.827,9.791,10.871,12.093,12.768,11.61,13.527,12.469,12.597
2010,2,15.167,12.946,11.571,13.108,12.748,15.854,17.151,14.322,13.919,11.813,11.959,15.176,11.46,11.36,11.598,14.33,11.197,14.437,12.583,10.905,13.087,10.575,15.718,10.586,14.18,7.467,13.896,14.223,13.152,17.092,14.353,12.953,12.281,14.601,14.244,19.488,17.658,15.578,11.427,18.739,16.498,17.334,12.538,15.41
2010,3,21.164,15.512,15.551,17.777,21.961,19.439,17.56,16.429,15.118,13.77,17.334,16.622,13.44,14.674,13.34,15.945,15.129,16.871,16.378,14.562,13.89,14.639,11.87,15.577,15.658,11.321,24.113,20.535,14.737,17.419,21.405,17.744,20.085,15.921,17.3,18.673,20.343,17.577,15.426,22.826,17.011,19.574,17.016,20.318
2010,4,20.434,22.816,21.254,18.276,22.921,24.213,24.142,20.182,19.326,19.212,23.964,22.192,19.901,18.066,20.394,22.572,21.193,23.127,23.034,22.454,20.785,21.254,18.751,20.549,18.582,18.722,29.257,22.502,19.75,22.512,28.392,24.415,24.793,22.485,20.064,23.659,27.322,24.993,20.323,25.567,23.191,23.635,23.458,23.253
2010,5,27.673,28.653,29.391,28.904,26.598,28.481,30.051,27.255,30.588,26.632,30.373,29.736,27.44,27.656,28.974,28.06,30.7,29.116,30.568,26.527,26.694,25.78,26.112,26.221,24.818,23.347,32.64,30.565,27.755,29.346,30.345,30.708,29.962,32.31,27.993,30.403,30.473,29.91,24.856,27.056,28.727,31.017,30.24,30.922
2010,6,36.663,36.454,36.266,35.599,37.294,35.744,35.967,34.4,36.845,35.45,35.786,34.543,37.756,34.342,34.421,36.04,36.257,37.965,36.767,34.877,31.712,31.958,31.615,32.044,32.874,29.005,38.526,38.029,34.577,36.591,37.427,38.872,37.377,36.255,34.312,33.836,37.008,37.442,32.125,33.397,34.669,34.254,32.931,36.233
2010,7,40.16,39.572,39.551,38.298,38.834,39.237,41.085,39.466,38.494,39.192,40.349,38.991,36.485,37.86,40.039,38.434,40.423,38.518,36.261,36.953,36.371,35.787,35.515,34.118,35.534,30.443,37.743,39.275,37.249,39.609,36.928,35.627,39.142,36.175,39.246,35.466,37.5,38.606,35.153,39.353,36.358,38.9,36.279,37.335
2010,8,39.321,37.14,36.512,36.904,36.29,37.069,36.92,37.805,37.53,37.827,34.534,38.366,37.443,35.724,38.407,38.737,39.629,37.407,35.449,36.672,35.061,36.017,30.019,33.095,36.66,30.057,33.676,33.225,36.539,34.512,38.119,35.431,35.015,36.137,37.325,33.575,35.02,39.835,37.378,37.452,37.075,38.673,34.931,39.012
2010,9,31.635,31.51,34.043,31.756,32.782,32.037,33.151,31.055,32.427,32.584,31.738,33.485,33.29,30.714,32.35,33.632,33.985,32.144,33.297,34.111,29.409,32.988,33.03,25.309,30.667,24.584,31.858,29.111,35.514,33.299,35.724,33.339,33.729,33.112,32.071,34.23,33.185,36.74,32.174,29.426,32.548,32.11,30.674,37.119
2010,10,24.961,25.943,25.607,25.996,26.152,26.883,25.501,23.877,23.56,25.871,26.967,26.809,23.044,26.077,26.424,24.174,23.879,24.253,27.136,27.117,21.846,21.555,25.518,20.659,20.954,19.795,25.698,26.853,30.015,26.825,24.299,26.666,25.61,25.282,26.154,26.152,26.483,24.711,24.07,23.247,28.465,23.983,24.817,27.126
2010,11,14.502,15.712,15.746,17.254,16.215,17.145,15.58,12.077,16.255,13.861,16.402,18.286,17.324,17.761,17.996,15.706,15.472,16.855,16.231,18.271,13.548,14.991,14.17,14.157,14.72,12.398,17.727,15.192,23.191,18.283,19.252,19.807,15.195,19.563,15.264,17.928,17.778,18.933,16.211,16.378,18.281,16.37,17.557,17.865
2010,12,15.599,15.718,11.647,11.147,5.803,13.561,11.289,10.354,13.135,8.625,12.723,13.742,14.867,10.003,10.203,8.572,10.394,10.883,14.685,12.386,9.445,10.895,9.778,12.713,9.151,9.076,10.765,14.092,6.99,10.967,13.045,12.316,8.314,11.398,9.363,15.813,15.622,11.629,15.118,14.351,13.302,12.728,14.642,13.8
2011,1,11.248,13.763,11.317,10.438,8.208,13.456,12.871,11.857,11.221,12.276,13.567,11.445,9.236,13.452,10.717,9.127,10.638,12.498,12.433,12.323,9.014,8.005,8.986,9.58,9.389,8.331,11.201,13.926,8.062,10.076,11.837,12.924,12.12,12.676,9.576,10.942,11.742,8.557,14.106,10.238,13.3,11.953,13.705,14.766
2011,2,12.963,12.882,11.071,13.24,12.204,14.005,10.533,11.713,12.217,13.145,14.201,14.541,13.085,13.705,13.324,13.539,10.785,14.294,12.039,15.128,8.226,14.323,14.666,10.965,13.27,13.968,15.161,17.573,10.433,14.36,11.481,15.896,13.393,15.063,12.575,11.39,14.107,20.412,15.272,16.04,14.277,14.342,14.906,14.02
2011,3,18.54,22.856,13.934,18.097,17.691,15.466,18.824,16.465,14.776,15.67,16.01,19.31,14.278,17.246,16.374,14.629,16.197,15.254,17.326,18.742,15.743,18.685,19.451,16.318,11.604,15.004,23.241,15.617,13.753,16.079,19.155,21.374,20.067,20.023,14.914,14.096,16.498,19.658,22.146,16.143,17.627,16.701,18.766,16.049
2011,4,20.691,23.725,21.814,19.575,22.386,19.098,20.57,22.725,24.066,20.76,23.842,24.871,20.992,24.498,18.718,17.402,21.886,18.43,21.891,22.944,19.566,23.835,25.314,18.584,21.564,21.29,24.921,20.098,20.731,24.304,25.673,22.36,23.422,23.677,22.346,20.27,23.11,26.862,26.319,21.893,21.033,23.047,23.857,21.754
2011,5,29.473,29.279,28.074,25.832,29.941,24.638,28.007,29.479,27.838,29.446,28.299,28.943,27.087,28.667,29.626,27.398,28.117,28.976,28.851,33.17,26.672,26.441,26.493,27.328,23.169,29.35,30.591,30.585,29.556,29.224,29.91,27.682,29.714,29.612,29.214,30.539,27.988,29.505,28.907,27.942,28.259,28.438,29.473,29.688
2011,6,38.451,38.399,34.144,36.105,36.58,36.614,37.067,36.668,35.987,37.175,35.641,35.363,35.886,36.729,36.878,38.813,37.577,36.803,37.408,36.253,30.301,32.793,33.262,32.935,28.739,31.059,37.152,37.118,34.992,34.014,34.136,38.23,37.352,36.531,37.472,37.336,35.966,35.005,36.18,36.663,35.326,33.469,36.382,36.279
2011,7,39.487,38.522,38.868,38.373,40.169,39.961,39.265,39.993,40.074,39.43,39.559,39.166,39.813,39.379,41.234,39.669,40.875,38.589,37.549,39.527,33.149,37.634,34.813,34.036,34.138,36.158,36.635,39.427,37.045,35.111,37.546,38.068,37.438,37.906,38.272,38.021,37.602,38.419,39.277,36.611,39.319,39.291,37.596,39.375
2011,8,37.105,36.419,37.447,39.174,38.488,37.137,38.462,38.316,37.111,37.942,37.947,37.281,37.419,36.934,38.328,38.595,36.596,37.399,37.464,37.561,37.052,35.245,30.173,27.798,34.519,32.547,33.615,36.065,38.855,33.141,33.527,35.659,38.333,35.507,33.775,36.751,37.927,34.088,37.714,38.226,39.11,37.75,32.992,37.198
