Year,Month,csiro-mk3-6-0.1.rcp45,csiro-mk3-6-0.2.rcp45,csiro-mk3-6-0.3.rcp45,csiro-mk3-6-0.4.rcp45,csiro-mk3-6-0.5.rcp45,csiro-mk3-6-0.6.rcp45,csiro-mk3-6-0.7.rcp45,csiro-mk3-6-0.8.rcp45,csiro-mk3-6-0.9.rcp45,csiro-mk3-6-0.10.rcp45,csiro-mk3-6-0.1.rcp85,csiro-mk3-6-0.2.rcp85,csiro-mk3-6-0.3.rcp85,csiro-mk3-6-0.4.rcp85,csiro-mk3-6-0.5.rcp85,csiro-mk3-6-0.6.rcp85,csiro-mk3-6-0.7.rcp85,csiro-mk3-6-0.8.rcp85,csiro-mk3-6-0.9.rcp85,csiro-mk3-6-0.10.rcp85,gfdl-cm3.1.rcp45,gfdl-cm3.1.rcp85,gfdl-esm2g.1.rcp45,gfdl-esm2g.1.rcp85,gfdl-esm2m.1.rcp45,gfdl-esm2m.1.rcp85,hadgem2-ao.1.rcp45,hadgem2-ao.1.rcp85,hadgem2-cc.1.rcp45,hadgem2-cc.1.rcp85,hadgem2-es.1.rcp45,hadgem2-es.2.rcp45,hadgem2-es.3.rcp45,hadgem2-es.4.rcp45,hadgem2-es.1.rcp85,hadgem2-es.2.rcp85,hadgem2-es.3.rcp85,hadgem2-es.4.rcp85,miroc-esm.1.rcp45,miroc-esm.1.rcp85,miroc-esm-chem.1.rcp45,miroc-esm-chem.1.rcp85,miroc5.1.rcp45,miroc5.1.rcp85
2010,1,-2.898,-0.854,0.971,0.77,0.114,-0.463,-0.017,-0.11,-1.64,0.325,-1.112,0.289,0.647,-1.292,1.087,0.36,-0.62,0.553,0.945,1.622,0.654,-1.734,0.691,0.968,2.318,1.368,-1.386,-0.394,-2.692,-1.057,-4.092,1.273,-0.275,0.612,0.124,0.358,-0.731,-4.191,1.466,2.292,2.511,4.207,4.496,2.27
2010,2,-0.454,0.248,2.861,0.392,-0.03,0.784,2.456,0.292,-0.332,1.565,0.457,3.407,1.605,-0.547,0.138,0.283,-0.92,2.108,0.972,2.949,2.969,-0.146,3.766,0.739,4.481,1.412,0.516,1.478,-0.11,0.993,-0.401,-0.482,-0.559,-0.298,1.868,2.825,2.061,1.344,2.017,4.036,4.192,5.771,4.513,3.636
2010,3,5.859,0.554,2.427,4.447,4.878,3.137,2.698,3.366,2.422,0.867,1.783,2.404,2.623,1.693,1.677,0.724,1.975,3.278,2.924,2.357,2.998,3.282,3.841,3.639,4.958,4.232,5.208,4.925,4.101,1.447,3.643,2.75,2.981,2.572,3.724,5.574,4.749,1.648,4.45,7.749,5.025,7.074,5.867,6.356
2010,4,4.793,6.263,5.477,5.046,7.638,7.139,7.711,3.845,3.136,3.211,7.428,6.346,4.363,1.695,4.873,6.412,5.232,6.447,6.464,5.617,6.212,7.844,5.783,6.72,8.085,7.187,10.609,6.174,5.79,5.07,8.334,6.652,8.668,4.706,5.255,6.502,8.876,7.12,7.343,10.054,9.108,10.478,10.664,9.167
2010,5,9.895,9.907,10.755,11.882,9.507,10.404,11.468,9.465,11.899,9.771,11.691,10.987,9.69,9.57,10.222,10.715,11.837,11.18,12.203,8.857,9.034,10.019,9.63,10.018,12.334,12.077,13.274,10.388,9.949,10.998,10.106,11.04,11.552,12.393,10.832,12.176,13.916,11.78,11.248,12.08,13.73,14.984,15.356,13.581
2010,6,17.582,16.282,17.892,17.225,17.962,15.986,15.517,17.216,17.491,15.98,17.124,16.349,18.176,18.13,15.082,15.925,16.291,18.214,17.923,15.372,12.667,15.147,15.863,16.49,19.066,15.036,18.965,16.755,16.033,15.51,15.069,19.099,17.381,14.371,15.278,15.321,16.397,16.437,16.123,17.307,18.365,18.053,18.833,19.275
2010,7,21.894,21.724,21.564,22.028,21.635,21.603,22.66,23.485,21.924,22.201,23.579,21.982,21.622,21.171,22.687,22.304,22.783,21.68,20.305,21.704,18.318,21.423,21.851,20.221,23.126,18.989,20.069,20.816,17.428,19.407,19.735,21.489,20.26,19.83,19.712,20.516,20.142,20.596,21.357,23.032,20.948,23.067,19.679,23.875
2010,8,22.273,21.599,20.662,21.511,21.649,21.075,21.878,22.314,21.134,22.325,21.088,21.114,22.179,20.855,22.013,21.697,23.114,21.88,19.936,21.848,19.748,21.583,19.957,18.947,24.832,17.672,20.011,20.022,16.109,19.044,21.419,21.008,21.195,20.668,20.48,18.689,20.48,20.995,22.237,22.038,21.273,22.467,21.034,23.051
2010,9,17.479,16.712,16.26,16.863,17.811,18.39,17.957,15.504,16.5,18.314,17.523,15.577,18.898,14.182,16.494,16.727,17.801,17.575,17.721,16.903,16.002,19.812,18.959,16.721,18.898,14.346,17.2,16.411,16.055,15.091,18.565,18.738,18.775,18.658,17.265,17.56,18.064,17.525,18.307,16.581,18.978,18.413,17.636,21.169
2010,10,9.566,9.441,9.489,10.07,11.045,10.303,10.791,8.812,10.125,11.609,12.425,8.547,8.876,7.733,8.569,8.839,9.297,7.425,10.044,10.117,13.309,11.991,12.87,12.289,10.965,10.727,12.413,11.207,11.966,11.289,8.827,11.499,11.553,9.114,13.509,11.988,11.384,10.674,12.809,13.104,15.214,12.745,13.128,14.396
